subset_id,train_fraction,seed,train_episode_count,val_episode_count,test_episode_count,content_groups_train,required_edge_groups,provenance,statistics_unit
f025_s20260906,0.25,20260906,9,7,13,9,"{""1"": 9, ""2"": 1, ""3"": 3, ""4"": 5}",real_stage4_supervision_subset,content_group_id
f025_s20260907,0.25,20260907,9,7,13,9,"{""1"": 9, ""2"": 1, ""3"": 3, ""4"": 5}",real_stage4_supervision_subset,content_group_id
f025_s20260908,0.25,20260908,9,7,13,9,"{""1"": 9, ""2"": 1, ""3"": 5, ""4"": 8}",real_stage4_supervision_subset,content_group_id
f050_s20260906,0.5,20260906,17,7,13,17,"{""1"": 17, ""2"": 1, ""3"": 7, ""4"": 10}",real_stage4_supervision_subset,content_group_id
f050_s20260907,0.5,20260907,17,7,13,17,"{""1"": 17, ""2"": 1, ""3"": 5, ""4"": 9}",real_stage4_supervision_subset,content_group_id
f050_s20260908,0.5,20260908,17,7,13,17,"{""1"": 17, ""2"": 1, ""3"": 4, ""4"": 7}",real_stage4_supervision_subset,content_group_id
