job_id	train_fraction	seed	supervision_root	output_dir	train_episode_count	content_groups_train	selection_split	test_used_for_selection	provenance
f025_s20260906	0.25	20260906	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/coverage_real_v1/supervision/f025_s20260906	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/coverage_real_v1/jobs/f025_s20260906	9	9	val	False	real_stage4_supervision_subset
f025_s20260907	0.25	20260907	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/coverage_real_v1/supervision/f025_s20260907	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/coverage_real_v1/jobs/f025_s20260907	9	9	val	False	real_stage4_supervision_subset
f025_s20260908	0.25	20260908	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/coverage_real_v1/supervision/f025_s20260908	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/coverage_real_v1/jobs/f025_s20260908	9	9	val	False	real_stage4_supervision_subset
f050_s20260906	0.5	20260906	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/coverage_real_v1/supervision/f050_s20260906	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/coverage_real_v1/jobs/f050_s20260906	17	17	val	False	real_stage4_supervision_subset
f050_s20260907	0.5	20260907	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/coverage_real_v1/supervision/f050_s20260907	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/coverage_real_v1/jobs/f050_s20260907	17	17	val	False	real_stage4_supervision_subset
f050_s20260908	0.5	20260908	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/coverage_real_v1/supervision/f050_s20260908	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/coverage_real_v1/jobs/f050_s20260908	17	17	val	False	real_stage4_supervision_subset
