train_fraction,edge_type,f1,provenance
0.25,alternative,0,real_trained_coverage_subset
0.25,recovery,0,real_trained_coverage_subset
0.5,alternative,0,real_trained_coverage_subset
0.5,recovery,0,real_trained_coverage_subset
1.0,alternative,0.6200716845878137,stage5_frozen_main_model
1.0,recovery,1.0,stage5_frozen_main_model
