root_family_id,case_id,action,physics_step_index,time,phase,weld_active,attached,eq_active,object_qpos,object_qvel,mocap_position,mocap_quaternion,post_detach_writeback_count,contacts,ncon
L2RAR2_REPAIR_00_840000,K3_normal_hold_pause_resume,observe_scene,0,0.01,physics_step,False,False,False,"[-0.279811, 0.001535, 0.5724145, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.0981, 0.0, 0.0, 0.0]","[-0.279811, -0.248465, 0.78]","[1.0, 0.0, 0.0, 0.0]",0,[],0
L2RAR2_REPAIR_00_840000,K3_normal_hold_pause_resume,observe_scene,1,0.02,physics_step,False,False,False,"[-0.279811, 0.001535, 0.5709430000000001, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.1962, 0.0, 0.0, 0.0]","[-0.279811, -0.248465, 0.78]","[1.0, 0.0, 0.0, 0.0]",0,[],0
L2RAR2_REPAIR_00_840000,K3_normal_hold_pause_resume,observe_scene,2,0.03,physics_step,False,False,False,"[-0.279811, 0.001535, 0.5684905000000001, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.2943, 0.0, 0.0, 0.0]","[-0.279811, -0.248465, 0.78]","[1.0, 0.0, 0.0, 0.0]",0,[],0
L2RAR2_REPAIR_00_840000,K3_normal_hold_pause_resume,observe_scene,3,0.04,physics_step,False,False,False,"[-0.279811, 0.001535, 0.5650570000000001, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.3924, 0.0, 0.0, 0.0]","[-0.279811, -0.248465, 0.78]","[1.0, 0.0, 0.0, 0.0]",0,[],0
L2RAR2_REPAIR_00_840000,K3_normal_hold_pause_resume,observe_scene,4,0.05,physics_step,False,False,False,"[-0.279811, 0.001535, 0.5606425000000002, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.49050000000000005, 0.0, 0.0, 0.0]","[-0.279811, -0.248465, 0.78]","[1.0, 0.0, 0.0, 0.0]",0,[],0
L2RAR2_REPAIR_00_840000,K3_normal_hold_pause_resume,observe_scene,5,0.060000000000000005,physics_step,False,False,False,"[-0.2798838499197861, 0.0011265452887848804, 0.5567245661504365, 0.9999929116136025, 0.0037067035243558834, -0.0006611138572156207, -4.848140241920239e-09]","[-0.008891207304244555, -0.04929466195580972, -0.24344554796477008, 0.8511335130392723, -0.1563779427594408, 0.001711658960172222]","[-0.279811, -0.248465, 0.78]","[1.0, 0.0, 0.0, 0.0]",0,"[{""contact_id"":0,""distance_m"":-0.0027010786916626243,""force_contact_frame"":[5.3612530536449725,-3.498796440142453,-0.6133088539060484,0.0,0.0,0.0],""is_external_support"":true,""is_hand_support"":false,""object_geom"":""object_geom"",""other_body"":""world"",""other_geom"":""table""}]",1
L2RAR2_REPAIR_00_840000,K3_normal_hold_pause_resume,observe_scene,6,0.07,physics_step,False,False,False,"[-0.27984247577657057, 0.0013413572469867226, 0.554859388685005, 0.9999993127335574, 0.0011536681025187876, -0.00020774436397069895, 2.0605855968785604e-05]","[0.015076886601218954, 0.07939133493888367, -0.15090712682235136, -1.5741362706868993, 0.2900172030830409, 0.0052423674916996735]","[-0.279811, -0.248465, 0.78]","[1.0, 0.0, 0.0, 0.0]",0,"[{""contact_id"":0,""distance_m"":-0.005477147564373241,""force_contact_frame"":[2.3491410792280414,-1.670768470690171,-0.323373866993072,0.0,0.0,0.0],""is_external_support"":true,""is_hand_support"":false,""object_geom"":""object_geom"",""other_body"":""world"",""other_geom"":""table""}]",1
L2RAR2_REPAIR_00_840000,K3_normal_hold_pause_resume,observe_scene,7,0.08,physics_step,False,False,False,"[-0.27975461248175043, 0.0018168617546667541, 0.5538138037751551, 0.9999943562633948, -0.003307503424576706, 0.0005869086896398003, 5.8315046947817826e-05]","[0.003879701339886691, 0.02128091626820893, -0.04898875976039843, -0.34072030622290583, 0.0585531167084552, 0.010088257373719194]","[-0.279811, -0.248465, 0.78]","[1.0, 0.0, 0.0, 0.0]",0,"[{""contact_id"":0,""distance_m"":-0.005950466513199595,""force_contact_frame"":[3.456789448147518,-2.309299572599703,-0.46338663140026437,0.0,0.0,0.0],""is_external_support"":true,""is_hand_support"":false,""object_geom"":""object_geom"",""other_body"":""world"",""other_geom"":""table""}]",1
L2RAR2_REPAIR_00_840000,K3_normal_hold_pause_resume,observe_scene,8,0.09,physics_step,False,False,False,"[-0.27980132450131623, 0.001552442034238404, 0.553540394404606, 0.9999999164940657, -0.00038842682716664994, 5.805703852124286e-05, 0.00011298602403338407]","[-0.011433164978170074, -0.06572946628929938, -0.019688682887585456, 1.307543534219369, -0.230235034525818, 0.011149080250786125]","[-0.279811, -0.248465, 0.78]","[1.0, 0.0, 0.0, 0.0]",0,"[{""contact_id"":0,""distance_m"":-0.006562548067714482,""force_contact_frame"":[1.5829252271399352,1.1443746634830734,0.1856797410126157,0.0,0.0,0.0],""is_external_support"":true,""is_hand_support"":false,""object_geom"":""object_geom"",""other_body"":""world"",""other_geom"":""table""}]",1
L2RAR2_REPAIR_00_840000,K3_normal_hold_pause_resume,observe_scene,9,0.09999999999999999,physics_step,False,False,False,"[-0.2798677086558202, 0.0011492009184913277, 0.5535594822086055, 0.9999939907060608, 0.003413983441959356, -0.0005785081107566404, 0.00016910703847211275]","[-0.0032646640538256232, -0.01923665082497699, 0.030706390711457393, 0.31371456706292655, -0.054780179827444236, 0.011368424361835952]","[-0.279811, -0.248465, 0.78]","[1.0, 0.0, 0.0, 0.0]",0,"[{""contact_id"":0,""distance_m"":-0.006044952251334314,""force_contact_frame"":[2.446750009105513,1.6396966364485892,0.3356391212569223,0.0,0.0,0.0],""is_external_support"":true,""is_hand_support"":false,""object_geom"":""object_geom"",""other_body"":""world"",""other_geom"":""table""}]",1
