episode_id,evidence_end_ns,evidence_end_capture_order,first_proposal_ns,first_proposal_capture_order,first_proposal_attempt_id,first_recovery_command_ns,first_recovery_command_capture_order,recovery_physics_start_ns,recovery_control_executed,release_intent_ns,attempt_change_ns,observation_boundary_ns,observation_boundary_capture_order,observation_boundary_reason,last_candidate_observation_ns
L2RAR2_R27_SHADOW_00_902000__R27S1_stable_hold__R27_SHADOW_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_00_902000__R27S2_supported_recovery_after_slip__R27_SHADOW_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_00_902000__R27S3_slow_detachment__R27_SHADOW_ONLY,4200000000,88,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,4200000000
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,3800000000,80,2600000000,55,1,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_00_902000__R27S5_contact_occluded_true_detachment__R27_SHADOW_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_00_902000__R27S6_active_release__R27_SHADOW_ONLY,2100000000,45,,,,,,,False,2150000000,,2150000000,46,RELEASE_STARTED,4100000000
L2RAR2_R27_SHADOW_01_902001__R27S1_stable_hold__R27_SHADOW_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_01_902001__R27S2_supported_recovery_after_slip__R27_SHADOW_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_01_902001__R27S3_slow_detachment__R27_SHADOW_ONLY,4200000000,88,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,4200000000
L2RAR2_R27_SHADOW_01_902001__R27S4_fast_detachment__R27_SHADOW_ONLY,3800000000,80,2700000000,57,1,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_01_902001__R27S5_contact_occluded_true_detachment__R27_SHADOW_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_01_902001__R27S6_active_release__R27_SHADOW_ONLY,2100000000,45,,,,,,,False,2150000000,,2150000000,46,RELEASE_STARTED,4100000000
L2RAR2_R27_SHADOW_02_902002__R27S1_stable_hold__R27_SHADOW_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_02_902002__R27S2_supported_recovery_after_slip__R27_SHADOW_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_02_902002__R27S3_slow_detachment__R27_SHADOW_ONLY,4200000000,88,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,4200000000
L2RAR2_R27_SHADOW_02_902002__R27S4_fast_detachment__R27_SHADOW_ONLY,3800000000,80,2650000000,56,1,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_02_902002__R27S5_contact_occluded_true_detachment__R27_SHADOW_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_02_902002__R27S6_active_release__R27_SHADOW_ONLY,2100000000,45,,,,,,,False,2150000000,,2150000000,46,RELEASE_STARTED,4100000000
L2RAR2_R27_SHADOW_03_902003__R27S1_stable_hold__R27_SHADOW_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_03_902003__R27S2_supported_recovery_after_slip__R27_SHADOW_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_03_902003__R27S3_slow_detachment__R27_SHADOW_ONLY,4200000000,88,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,4200000000
L2RAR2_R27_SHADOW_03_902003__R27S4_fast_detachment__R27_SHADOW_ONLY,3800000000,80,2400000000,51,1,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_03_902003__R27S5_contact_occluded_true_detachment__R27_SHADOW_ONLY,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
L2RAR2_R27_SHADOW_03_902003__R27S6_active_release__R27_SHADOW_ONLY,2100000000,45,,,,,,,False,2150000000,,2150000000,46,RELEASE_STARTED,4100000000
