clusters,key,method,next_event_accuracy,seed,selection_score,selection_split,silhouette,support_balance,test_used_for_selection,transition_entropy
9,raw_observable_kmeans_k9_s632,raw_observable_kmeans,0.871244635193133,632,0.48144977756797636,val,0.574293121943032,0.48729792147806006,False,0.3660911478874366
11,history_embedding_kmeans_k11_s631,history_embedding_kmeans,0.8626609442060086,631,0.49720585630530884,val,0.6680606293611617,0.18834080717488788,False,0.2869038758034475
11,history_plus_event_posterior_kmeans_k11_s631,history_plus_event_posterior_kmeans,0.8626609442060086,631,0.49694829377272215,val,0.6673247364109142,0.18834080717488788,False,0.2869038758034475
11,history_embedding_kmeans_k11_s631,history_embedding_kmeans,0.8626609442060086,631,0.49720585630530884,val,0.6680606293611617,0.18834080717488788,False,0.2869038758034475
