cluster_id,episode_id,evidence_status,observable_contact_loss_count,observable_ever_contact,root_family_id,segment_id,split,unknown_fraction
3,formal_u2_family_000_r00,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r00_s00,train,0.3333333333333333
5,formal_u2_family_000_r00,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r00_s01,train,0.75
4,formal_u2_family_000_r00,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r00_s02,train,0.45454545454545453
9,formal_u2_family_000_r00,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r00_s03,train,1.0
9,formal_u2_family_000_r00,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r00_s04,train,0.6666666666666666
2,formal_u2_family_000_r00,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r00_s05,train,1.0
3,formal_u2_family_000_r01,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r01_s00,train,0.3333333333333333
5,formal_u2_family_000_r01,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r01_s01,train,0.75
4,formal_u2_family_000_r01,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r01_s02,train,0.4
7,formal_u2_family_000_r01,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r01_s03,train,1.0
9,formal_u2_family_000_r01,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r01_s04,train,1.0
2,formal_u2_family_000_r01,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r01_s05,train,0.6666666666666666
3,formal_u2_family_000_r02,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r02_s00,train,0.3333333333333333
5,formal_u2_family_000_r02,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r02_s01,train,0.6666666666666666
4,formal_u2_family_000_r02,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r02_s02,train,0.36363636363636365
7,formal_u2_family_000_r02,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r02_s03,train,1.0
9,formal_u2_family_000_r02,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r02_s04,train,1.0
2,formal_u2_family_000_r02,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r02_s05,train,0.6666666666666666
3,formal_u2_family_000_r03,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r03_s00,train,0.3333333333333333
5,formal_u2_family_000_r03,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r03_s01,train,0.75
4,formal_u2_family_000_r03,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r03_s02,train,0.4
7,formal_u2_family_000_r03,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r03_s03,train,1.0
9,formal_u2_family_000_r03,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r03_s04,train,0.8
2,formal_u2_family_000_r03,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r03_s05,train,1.0
3,formal_u2_family_000_r04,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r04_s00,train,0.3333333333333333
5,formal_u2_family_000_r04,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r04_s01,train,0.75
4,formal_u2_family_000_r04,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r04_s02,train,0.3333333333333333
7,formal_u2_family_000_r04,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r04_s03,train,1.0
9,formal_u2_family_000_r04,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r04_s04,train,0.8571428571428571
2,formal_u2_family_000_r04,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r04_s05,train,1.0
3,formal_u2_family_000_r05,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r05_s00,train,0.3333333333333333
5,formal_u2_family_000_r05,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r05_s01,train,0.75
4,formal_u2_family_000_r05,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r05_s02,train,0.5454545454545454
9,formal_u2_family_000_r05,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r05_s03,train,1.0
2,formal_u2_family_000_r05,train_observed_hypothesis,0,True,u2_family_000,formal_u2_family_000_r05_s04,train,0.6666666666666666
3,formal_u2_family_001_r00,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r00_s00,train,0.3333333333333333
5,formal_u2_family_001_r00,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r00_s01,train,0.75
4,formal_u2_family_001_r00,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r00_s02,train,0.3
7,formal_u2_family_001_r00,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r00_s03,train,1.0
9,formal_u2_family_001_r00,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r00_s04,train,0.8333333333333334
2,formal_u2_family_001_r00,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r00_s05,train,1.0
3,formal_u2_family_001_r01,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r01_s00,train,0.3333333333333333
5,formal_u2_family_001_r01,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r01_s01,train,0.75
4,formal_u2_family_001_r01,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r01_s02,train,0.6
9,formal_u2_family_001_r01,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r01_s03,train,0.8571428571428571
2,formal_u2_family_001_r01,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r01_s04,train,1.0
3,formal_u2_family_001_r02,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r02_s00,train,0.3333333333333333
5,formal_u2_family_001_r02,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r02_s01,train,0.6666666666666666
4,formal_u2_family_001_r02,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r02_s02,train,0.5454545454545454
9,formal_u2_family_001_r02,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r02_s03,train,1.0
9,formal_u2_family_001_r02,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r02_s04,train,0.6666666666666666
2,formal_u2_family_001_r02,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r02_s05,train,1.0
3,formal_u2_family_001_r03,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r03_s00,train,0.3333333333333333
8,formal_u2_family_001_r03,train_observed_hypothesis,1,True,u2_family_001,formal_u2_family_001_r03_s01,train,0.3333333333333333
5,formal_u2_family_001_r03,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r03_s02,train,0.3333333333333333
4,formal_u2_family_001_r03,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r03_s03,train,0.6363636363636364
9,formal_u2_family_001_r03,train_observed_hypothesis,0,True,u2_family_001,formal_u2_family_001_r03_s04,train,1.0
