policy_seed,metric,pathgraph_value,comparator_value,difference,improved,ceiling_tie,degraded,seed_block
20260909,graph_task_success,0.8,0.6,0.20000000000000007,True,False,False,old
20260909,recovery_success,1.0,0.5,0.5,True,False,False,old
20260909,worst_order_success,0.0,0.0,0.0,False,False,False,old
20260909,fixed_order_success,0.6666666666666666,0.6666666666666666,0.0,False,False,False,old
20260909,long_horizon_completion,0.8,0.6,0.20000000000000007,True,False,False,old
20260909,order_gap,1.0,1.0,0.0,False,False,False,old
20260910,graph_task_success,1.0,1.0,0.0,False,True,False,old
20260910,recovery_success,1.0,1.0,0.0,False,False,False,old
20260910,worst_order_success,1.0,1.0,0.0,False,False,False,old
20260910,fixed_order_success,1.0,1.0,0.0,False,False,False,old
20260910,long_horizon_completion,1.0,1.0,0.0,False,False,False,old
20260910,order_gap,0.0,0.0,0.0,False,False,False,old
20260911,graph_task_success,1.0,1.0,0.0,False,True,False,old
20260911,recovery_success,1.0,1.0,0.0,False,False,False,old
20260911,worst_order_success,1.0,1.0,0.0,False,False,False,old
20260911,fixed_order_success,1.0,1.0,0.0,False,False,False,old
20260911,long_horizon_completion,1.0,1.0,0.0,False,False,False,old
20260911,order_gap,0.0,0.0,0.0,False,False,False,old
20260912,graph_task_success,0.6,0.4,0.19999999999999996,True,False,False,new
20260912,recovery_success,1.0,0.5,0.5,True,False,False,new
20260912,worst_order_success,0.0,0.0,0.0,False,False,False,new
20260912,fixed_order_success,0.3333333333333333,0.3333333333333333,0.0,False,False,False,new
20260912,long_horizon_completion,0.6,0.4,0.19999999999999996,True,False,False,new
20260912,order_gap,0.0,0.0,0.0,False,False,False,new
20260913,graph_task_success,1.0,1.0,0.0,False,True,False,new
20260913,recovery_success,1.0,1.0,0.0,False,False,False,new
20260913,worst_order_success,1.0,1.0,0.0,False,False,False,new
20260913,fixed_order_success,1.0,1.0,0.0,False,False,False,new
20260913,long_horizon_completion,1.0,1.0,0.0,False,False,False,new
20260913,order_gap,0.0,0.0,0.0,False,False,False,new
20260914,graph_task_success,0.6,0.6,0.0,False,False,False,new
20260914,recovery_success,0.5,0.5,0.0,False,False,False,new
20260914,worst_order_success,0.0,0.0,0.0,False,False,False,new
20260914,fixed_order_success,0.6666666666666666,0.6666666666666666,0.0,False,False,False,new
20260914,long_horizon_completion,0.6,0.6,0.0,False,False,False,new
20260914,order_gap,1.0,1.0,0.0,False,False,False,new
