task_id,condition,method,policy_seed,n_rollouts,success_rate,completion_mean,recovery_success_rate,failed_rate,median_steps
transport_dual_order,A_first,linear_sarm_equiv,20260909,50,0.0,0.0,0.0,0.0,22.0
transport_dual_order,A_first,linear_sarm_equiv,20260910,50,1.0,1.0,0.0,0.0,4.0
transport_dual_order,A_first,linear_sarm_equiv,20260911,50,1.0,1.0,0.0,0.0,6.0
transport_dual_order,A_first,linear_sarm_equiv,20260912,50,0.0,0.0,0.0,0.0,22.0
transport_dual_order,A_first,linear_sarm_equiv,20260913,50,1.0,1.0,0.0,0.0,6.0
transport_dual_order,A_first,linear_sarm_equiv,20260914,50,1.0,1.0,0.0,0.0,8.0
transport_dual_order,A_first,pathgraph_reward_v1_locked,20260909,50,0.0,0.0,0.0,0.0,22.0
transport_dual_order,A_first,pathgraph_reward_v1_locked,20260910,50,1.0,1.0,0.0,0.0,4.0
transport_dual_order,A_first,pathgraph_reward_v1_locked,20260911,50,1.0,1.0,0.0,0.0,6.0
transport_dual_order,A_first,pathgraph_reward_v1_locked,20260912,50,0.0,0.0,0.0,0.0,22.0
transport_dual_order,A_first,pathgraph_reward_v1_locked,20260913,50,1.0,1.0,0.0,0.0,6.0
transport_dual_order,A_first,pathgraph_reward_v1_locked,20260914,50,1.0,1.0,0.0,0.0,8.0
transport_dual_order,B_first,linear_sarm_equiv,20260909,50,1.0,1.0,0.0,0.0,6.0
transport_dual_order,B_first,linear_sarm_equiv,20260910,50,1.0,1.0,0.0,0.0,3.0
transport_dual_order,B_first,linear_sarm_equiv,20260911,50,1.0,1.0,0.0,0.0,5.0
transport_dual_order,B_first,linear_sarm_equiv,20260912,50,0.0,0.0,0.0,0.0,22.0
transport_dual_order,B_first,linear_sarm_equiv,20260913,50,1.0,1.0,0.0,0.0,5.0
transport_dual_order,B_first,linear_sarm_equiv,20260914,50,0.0,0.0,0.0,0.0,22.0
transport_dual_order,B_first,pathgraph_reward_v1_locked,20260909,50,1.0,1.0,0.0,0.0,6.0
transport_dual_order,B_first,pathgraph_reward_v1_locked,20260910,50,1.0,1.0,0.0,0.0,3.0
transport_dual_order,B_first,pathgraph_reward_v1_locked,20260911,50,1.0,1.0,0.0,0.0,5.0
transport_dual_order,B_first,pathgraph_reward_v1_locked,20260912,50,0.0,0.0,0.0,0.0,22.0
transport_dual_order,B_first,pathgraph_reward_v1_locked,20260913,50,1.0,1.0,0.0,0.0,5.0
transport_dual_order,B_first,pathgraph_reward_v1_locked,20260914,50,0.0,0.0,0.0,0.0,22.0
transport_recovery,drop_regrasp,linear_sarm_equiv,20260909,50,1.0,1.0,1.0,0.0,20.0
transport_recovery,drop_regrasp,linear_sarm_equiv,20260910,50,1.0,1.0,1.0,0.0,9.0
transport_recovery,drop_regrasp,linear_sarm_equiv,20260911,50,1.0,1.0,1.0,0.0,11.0
transport_recovery,drop_regrasp,linear_sarm_equiv,20260912,50,0.0,0.0,0.0,0.0,22.0
transport_recovery,drop_regrasp,linear_sarm_equiv,20260913,50,1.0,1.0,1.0,0.0,9.0
transport_recovery,drop_regrasp,linear_sarm_equiv,20260914,50,1.0,1.0,1.0,0.0,9.0
transport_recovery,drop_regrasp,pathgraph_reward_v1_locked,20260909,50,1.0,1.0,1.0,0.0,9.0
transport_recovery,drop_regrasp,pathgraph_reward_v1_locked,20260910,50,1.0,1.0,1.0,0.0,9.0
transport_recovery,drop_regrasp,pathgraph_reward_v1_locked,20260911,50,1.0,1.0,1.0,0.0,10.0
transport_recovery,drop_regrasp,pathgraph_reward_v1_locked,20260912,50,1.0,1.0,1.0,0.0,10.0
transport_recovery,drop_regrasp,pathgraph_reward_v1_locked,20260913,50,1.0,1.0,1.0,0.0,9.0
transport_recovery,drop_regrasp,pathgraph_reward_v1_locked,20260914,50,1.0,1.0,1.0,0.0,9.0
transport_recovery,gripper_reopen,linear_sarm_equiv,20260909,50,0.0,0.0,0.0,0.0,22.0
transport_recovery,gripper_reopen,linear_sarm_equiv,20260910,50,1.0,1.0,1.0,0.0,9.0
transport_recovery,gripper_reopen,linear_sarm_equiv,20260911,50,1.0,1.0,1.0,0.0,10.0
transport_recovery,gripper_reopen,linear_sarm_equiv,20260912,50,1.0,1.0,1.0,0.0,22.0
transport_recovery,gripper_reopen,linear_sarm_equiv,20260913,50,1.0,1.0,1.0,0.0,9.0
transport_recovery,gripper_reopen,linear_sarm_equiv,20260914,50,0.0,0.0,0.0,0.0,22.0
transport_recovery,gripper_reopen,pathgraph_reward_v1_locked,20260909,50,1.0,1.0,1.0,0.0,9.0
