comparison,metric,families,mean_effect,bootstrap_low,bootstrap_high,bootstrap_resamples,bootstrap_seed
G1_predicate_bound-G0_coarse_direct,branch_accuracy,24,0.125,0.0,0.25,5000,230501
G1_predicate_bound-G1_predicate_bound,branch_accuracy,24,0.0,0.0,0.0,5000,230502
