boundary_source,segment_id,root_family_id,episode_id,split,start_t,end_t,segment_return,dominant_gold_event,event_purity,contains_failure,contains_recovery,contains_success,mixed_failure_recovery
best_causal,formal_u2_family_000_r00_best_causal_0,u2_family_000,formal_u2_family_000_r00,train,0,1,-0.0020824968814849854,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r00_best_causal_1,u2_family_000,formal_u2_family_000_r00,train,2,2,0.0,2,1.0,False,False,False,False
best_causal,formal_u2_family_000_r00_best_causal_2,u2_family_000,formal_u2_family_000_r00,train,3,3,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r00_best_causal_3,u2_family_000,formal_u2_family_000_r00,train,4,6,0.0009418725967407227,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r00_best_causal_4,u2_family_000,formal_u2_family_000_r00,train,7,17,0.7783699035644531,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r00_best_causal_5,u2_family_000,formal_u2_family_000_r00,train,18,18,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r00_best_causal_6,u2_family_000,formal_u2_family_000_r00,train,19,20,0.01193082332611084,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r00_best_causal_7,u2_family_000,formal_u2_family_000_r00,train,21,23,0.0978979617357254,0,1.0,False,False,True,False
best_causal,formal_u2_family_000_r00_best_causal_8,u2_family_000,formal_u2_family_000_r00,train,24,24,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r00_best_causal_9,u2_family_000,formal_u2_family_000_r00,train,25,25,0.0,8,1.0,False,False,True,False
best_causal,formal_u2_family_000_r01_best_causal_0,u2_family_000,formal_u2_family_000_r01,train,0,1,0.017766237258911133,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r01_best_causal_1,u2_family_000,formal_u2_family_000_r01,train,2,2,0.0,2,1.0,False,False,False,False
best_causal,formal_u2_family_000_r01_best_causal_2,u2_family_000,formal_u2_family_000_r01,train,3,3,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r01_best_causal_3,u2_family_000,formal_u2_family_000_r01,train,4,6,0.0014470815658569336,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r01_best_causal_4,u2_family_000,formal_u2_family_000_r01,train,7,16,0.7309098839759827,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r01_best_causal_5,u2_family_000,formal_u2_family_000_r01,train,17,18,0.027912482619285583,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r01_best_causal_6,u2_family_000,formal_u2_family_000_r01,train,19,19,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r01_best_causal_7,u2_family_000,formal_u2_family_000_r01,train,20,20,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r01_best_causal_8,u2_family_000,formal_u2_family_000_r01,train,21,22,0.01010274887084961,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r01_best_causal_9,u2_family_000,formal_u2_family_000_r01,train,23,23,0.0,7,1.0,False,False,True,False
best_causal,formal_u2_family_000_r01_best_causal_10,u2_family_000,formal_u2_family_000_r01,train,24,24,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r01_best_causal_11,u2_family_000,formal_u2_family_000_r01,train,25,25,0.0,8,1.0,False,False,True,False
best_causal,formal_u2_family_000_r02_best_causal_0,u2_family_000,formal_u2_family_000_r02,train,0,1,0.02345457673072815,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r02_best_causal_1,u2_family_000,formal_u2_family_000_r02,train,2,2,0.0,2,1.0,False,False,False,False
best_causal,formal_u2_family_000_r02_best_causal_2,u2_family_000,formal_u2_family_000_r02,train,3,5,-0.0036191344261169434,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r02_best_causal_3,u2_family_000,formal_u2_family_000_r02,train,6,16,0.7252215147018433,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r02_best_causal_4,u2_family_000,formal_u2_family_000_r02,train,17,17,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r02_best_causal_5,u2_family_000,formal_u2_family_000_r02,train,18,18,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r02_best_causal_6,u2_family_000,formal_u2_family_000_r02,train,19,19,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r02_best_causal_7,u2_family_000,formal_u2_family_000_r02,train,20,20,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r02_best_causal_8,u2_family_000,formal_u2_family_000_r02,train,21,21,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r02_best_causal_9,u2_family_000,formal_u2_family_000_r02,train,22,23,0.00844082236289978,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r02_best_causal_10,u2_family_000,formal_u2_family_000_r02,train,24,24,0.0,7,1.0,False,False,True,False
best_causal,formal_u2_family_000_r02_best_causal_11,u2_family_000,formal_u2_family_000_r02,train,25,25,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r02_best_causal_12,u2_family_000,formal_u2_family_000_r02,train,26,26,0.0,8,1.0,False,False,True,False
best_causal,formal_u2_family_000_r03_best_causal_0,u2_family_000,formal_u2_family_000_r03,train,0,1,-0.012780845165252686,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r03_best_causal_1,u2_family_000,formal_u2_family_000_r03,train,2,2,0.0,2,1.0,False,False,False,False
best_causal,formal_u2_family_000_r03_best_causal_2,u2_family_000,formal_u2_family_000_r03,train,3,6,-0.0032165050506591797,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r03_best_causal_3,u2_family_000,formal_u2_family_000_r03,train,7,16,0.7322072386741638,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r03_best_causal_4,u2_family_000,formal_u2_family_000_r03,train,17,18,0.01884514093399048,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r03_best_causal_5,u2_family_000,formal_u2_family_000_r03,train,19,19,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r03_best_causal_6,u2_family_000,formal_u2_family_000_r03,train,20,24,0.12225066125392914,0,1.0,False,False,True,False
best_causal,formal_u2_family_000_r03_best_causal_7,u2_family_000,formal_u2_family_000_r03,train,25,25,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r03_best_causal_8,u2_family_000,formal_u2_family_000_r03,train,26,26,0.0,8,1.0,False,False,True,False
best_causal,formal_u2_family_000_r04_best_causal_0,u2_family_000,formal_u2_family_000_r04,train,0,1,0.00800672173500061,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r04_best_causal_1,u2_family_000,formal_u2_family_000_r04,train,2,2,0.0,2,1.0,False,False,False,False
best_causal,formal_u2_family_000_r04_best_causal_2,u2_family_000,formal_u2_family_000_r04,train,3,6,-0.0038920044898986816,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r04_best_causal_3,u2_family_000,formal_u2_family_000_r04,train,7,15,0.7113345861434937,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r04_best_causal_4,u2_family_000,formal_u2_family_000_r04,train,16,17,0.023566797375679016,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r04_best_causal_5,u2_family_000,formal_u2_family_000_r04,train,18,18,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r04_best_causal_6,u2_family_000,formal_u2_family_000_r04,train,19,19,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r04_best_causal_7,u2_family_000,formal_u2_family_000_r04,train,20,25,0.1232355535030365,0,1.0,False,False,True,False
best_causal,formal_u2_family_000_r04_best_causal_8,u2_family_000,formal_u2_family_000_r04,train,26,26,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r04_best_causal_9,u2_family_000,formal_u2_family_000_r04,train,27,27,0.0,8,1.0,False,False,True,False
best_causal,formal_u2_family_000_r05_best_causal_0,u2_family_000,formal_u2_family_000_r05,train,0,1,0.004364311695098877,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r05_best_causal_1,u2_family_000,formal_u2_family_000_r05,train,2,2,0.0,2,1.0,False,False,False,False
best_causal,formal_u2_family_000_r05_best_causal_2,u2_family_000,formal_u2_family_000_r05,train,3,6,-0.0021927356719970703,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r05_best_causal_3,u2_family_000,formal_u2_family_000_r05,train,7,17,0.7892879247665405,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r05_best_causal_4,u2_family_000,formal_u2_family_000_r05,train,18,18,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r05_best_causal_5,u2_family_000,formal_u2_family_000_r05,train,19,19,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r05_best_causal_6,u2_family_000,formal_u2_family_000_r05,train,20,21,0.009325966238975525,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r05_best_causal_7,u2_family_000,formal_u2_family_000_r05,train,22,22,0.0,7,1.0,False,False,True,False
best_causal,formal_u2_family_000_r05_best_causal_8,u2_family_000,formal_u2_family_000_r05,train,23,23,0.0,0,1.0,False,False,False,False
best_causal,formal_u2_family_000_r05_best_causal_9,u2_family_000,formal_u2_family_000_r05,train,24,24,0.0,8,1.0,False,False,True,False
best_causal,formal_u2_family_001_r00_best_causal_0,u2_family_001,formal_u2_family_001_r00,train,0,1,-0.004772931337356567,0,1.0,False,False,False,False
best_causal,formal_u2_family_001_r00_best_causal_1,u2_family_001,formal_u2_family_001_r00,train,2,2,0.0,2,1.0,False,False,False,False
