case_id,split,pool_index,target_xy,second_xy,gap_x,gap_y,min_axis_gap,aabb_overlap,corridor_projection,corridor_perpendicular,container_clearance,buffer_clearance,workspace_clearance,controller_envelope_clearance,static_clearance_min,classification
T_C_v12_train_000,train,0,"[-0.106865302, -0.002683837]","[0.016447479, -0.033521905]",0.083312781,-0.009161932000000005,0.083312781,False,0.32453096192244235,0.07684287448079698,0.08955252100000001,0.14268383699999998,0.233134698,0.193134698,0.08955252100000001,PASS
T_C_v12_train_001,train,1,"[-0.204938793, 0.024021904]","[-0.093592841, 0.133321347]",0.07134595200000002,0.06929944300000002,0.07134595200000002,False,0.33897859401713587,0.07911507599340831,0.19959284099999997,0.046407159,0.135061207,0.09506120699999998,0.046407159,PASS
T_C_v12_train_002,train,2,"[-0.09581432, -0.061332041]","[-0.042261038, 0.058187636]",0.013553281999999993,0.07951967699999998,0.07951967699999998,False,0.3344826744958726,0.07044987462893149,0.148261038,0.09773896199999998,0.24418568,0.20418567999999998,0.09773896199999998,PASS
T_C_v12_train_003,train,3,"[-0.133436248, -0.15472803]","[-0.058275372, -0.006548403]",0.035160876000000015,0.10817962699999997,0.10817962699999997,False,0.3699520160281585,0.06189155146834848,0.16427537199999998,0.146548403,0.18527197,0.14527197,0.14527197,PASS
T_C_v12_train_004,train,4,"[-0.226866648, -0.102356939]","[-0.119492848, 0.037531112]",0.06737380000000001,0.09988805099999998,0.09988805099999998,False,0.3478966705439716,0.07125972087824631,0.22549284799999997,0.10246888799999998,0.11313335199999998,0.07313335199999998,0.07313335199999998,PASS
T_C_v12_train_005,train,5,"[-0.204343196, 0.031509171]","[-0.083086776, 0.137343699]",0.08125642,0.065834528,0.08125642,False,0.3598158167170915,0.07593001979189057,0.18908677599999996,0.056913223999999984,0.135656804,0.09565680399999998,0.056913223999999984,PASS
T_C_v12_train_006,train,6,"[-0.119955102, 0.027634269]","[-0.007271766, -0.003599972]",0.07268333599999999,-0.008765759000000001,0.07268333599999999,False,0.3138432327015002,0.0630131614344425,0.11327176600000001,0.112365731,0.22004489800000002,0.180044898,0.112365731,PASS
T_C_v12_train_007,train,7,"[-0.125716236, 0.043319461]","[-0.022232157, 0.134882382]",0.063484079,0.05156292099999999,0.063484079,False,0.38913784647123906,0.0636355858627832,0.128232157,0.09668053899999998,0.205117618,0.165117618,0.09668053899999998,PASS
T_C_v12_train_008,train,8,"[-0.211066543, 0.017876728]","[-0.105096218, 0.12016239]",0.065970325,0.062285662,0.065970325,False,0.3176205630997292,0.07219159433898538,0.211096218,0.03490378199999997,0.128933457,0.088933457,0.03490378199999997,PASS
T_C_v12_train_009,train,9,"[-0.18756522, -0.117739025]","[-0.034299209, -0.108206898]",0.113266011,-0.030467873,0.113266011,False,0.30581452709018037,0.075234087863471,0.15420689799999998,0.24820689799999998,0.15243478,0.11243477999999998,0.11243477999999998,PASS
T_C_v12_train_010,train,10,"[-0.203954604, -0.125483892]","[-0.118783895, 0.015178159]",0.04517070900000001,0.100662051,0.100662051,False,0.3237231668750142,0.07263140735323262,0.224783895,0.12482184099999999,0.13604539599999999,0.09604539599999998,0.09604539599999998,PASS
