metric,value
formal_rl_jobs,0
real_environment_ppo_updates,0
diagnostic_optimizer_steps,0
runtime_contact_checks,84
scripted_qualification_episodes_completed,20
scripted_harness_aborted_after_open,20
direct_path_contrast_episodes,20
reference_attempts,0
stage_0d_episodes,0
no_learning_probes,0
vlm_requests,0
vlm_retries,0
captured_scenes,0
test_id_episodes,0
