case_id,direct_success,relocation_success,direct_sim_s,relocation_sim_s,material_difference,relocation_benefit
T_C_v12_dev_013,True,True,14.950000000001994,22.899999999997632,True,False
T_C_v12_dev_014,True,True,15.100000000001954,23.04999999999755,True,False
T_C_v12_dev_009,True,True,14.650000000001896,22.5999999999978,True,False
T_C_v12_dev_018,True,True,15.050000000001983,23.09999999999752,True,False
T_C_v12_dev_016,True,True,15.100000000001954,23.149999999997494,True,False
T_C_v12_dev_004,True,True,14.550000000001862,22.5999999999978,True,False
T_C_v12_dev_000,True,True,15.550000000001704,24.19999999999691,True,False
T_C_v12_dev_008,True,True,16.400000000001235,24.499999999996746,True,False
T_C_v12_dev_011,True,True,15.000000000002009,22.84999999999766,True,False
T_C_v12_dev_005,True,True,15.100000000001954,23.349999999997383,True,False
