method,seed,status,steps,checkpoint_sha256,init_sha256
GEOM_COUNT_EVENTS_PBRS,229,TRAINING_COMPLETE,524288,68b21deeae9b64e8d84055a52193dc25fd7140dfa9e853b65cc55b9601e519d7,9054b40faf59f714c7404c50a59670c450fd3599ab2796380609c58d81c0e96a
GEOM_COUNT_EVENTS_PBRS,233,TRAINING_COMPLETE,524288,e5c3c414045c3f61f7502dcf5df8d776ccf971c8ab34fa3d2512e20d16d0038c,de1b6b42737e527a5b1609f3b61a88f09632f0a5d7879308edd295800fce8e22
GEOM_COUNT_EVENTS_PBRS,239,TRAINING_COMPLETE,524288,29a318d6368151159749d22ecd767cfe46b3a4ca2fe3c9b59749a652c739b888,3b633796c519e50d7640091c4f2133f2638db0d1f9105e147434feed2a6d8204
GEOM_COUNT_EVENTS_PBRS,241,TRAINING_COMPLETE,524288,e0544c5493073f64fb2cf37a016039bc5461017f487d87b50b2640d718e5a3c0,a095f1b5e5f4cd29d2b2d80da0280c14f7cfe0ad83caf82ae7057f059202a45c
GEOM_COUNT_EVENTS_PBRS,251,TRAINING_COMPLETE,524288,1fd7b0ea2335dac93a71466072c1de4c7a9d510dbc3350295ac3a49e70976c6f,d3a25b5cbad11509cc8dc33e69a964f2e29595faf2ff38f69cbd3f87f3e7f4ca
GRAPH_COST_PBRS,211,TRAINING_COMPLETE,524288,4cebd1a2bffc494604163270655f757671b932a8dac66fcfb79caf0c59ee6aff,50a0cb706e4aeface9bf2916caa559424e4f0a2cf139057efd0fde9776868dab
GRAPH_COST_PBRS,223,TRAINING_COMPLETE,524288,45e39d25b8f5227adf7371b06bec4fa7a74be2970f7168a81be6f52d6cc8f920,69f3fd206e4e72d561a3a86d24ffd8e206c5d76dd79c45c3dbbad9b052001147
GRAPH_COST_PBRS,227,TRAINING_COMPLETE,524288,dd1e7a9a0ce1f9811abeed0f732a4cc1642363d51a56904c7654791cd8a11847,942e037f7f2c2539619c82b0732bd25200b18e9a96ceef00cd93480a5862adcf
GRAPH_COST_PBRS,229,TRAINING_COMPLETE,524288,a0756eb924f073fe19d2a0d4d28d7327dcfe421185b695f4d70172fbdcc8c5a9,9054b40faf59f714c7404c50a59670c450fd3599ab2796380609c58d81c0e96a
GRAPH_COST_PBRS,233,TRAINING_COMPLETE,524288,8edcd403395bcba87c89c94004f091f7ad85063a232e19e7aba519fa6caf9040,de1b6b42737e527a5b1609f3b61a88f09632f0a5d7879308edd295800fce8e22
GRAPH_COST_PBRS,239,TRAINING_COMPLETE,524288,9b3db9f19e4baf8252275b11bedda0ff8e6838cd78ea9ef4e0add2b8987bc219,3b633796c519e50d7640091c4f2133f2638db0d1f9105e147434feed2a6d8204
GRAPH_COST_PBRS,241,TRAINING_COMPLETE,524288,e915872417ba79a9bb8e28a89bedbeedbcf31a4ff7b5c7f2edf1525778d01f37,a095f1b5e5f4cd29d2b2d80da0280c14f7cfe0ad83caf82ae7057f059202a45c
GRAPH_COST_PBRS,251,TRAINING_COMPLETE,524288,1f38ea138379e9f45dca36e0f6293c139fcab5c387832f661ff72afa1bf6a859,d3a25b5cbad11509cc8dc33e69a964f2e29595faf2ff38f69cbd3f87f3e7f4ca
GRAPH_FULL_PBRS,211,TRAINING_COMPLETE,524288,de8f43abf7e8908b8c854effd01c6d58413effd9a9606e5fc7b4147973552658,50a0cb706e4aeface9bf2916caa559424e4f0a2cf139057efd0fde9776868dab
GRAPH_FULL_PBRS,223,TRAINING_COMPLETE,524288,5ee74dfc3841091306bdd72e107b7111483cccce0cacb7a170df3f3e75de5560,69f3fd206e4e72d561a3a86d24ffd8e206c5d76dd79c45c3dbbad9b052001147
GRAPH_FULL_PBRS,227,TRAINING_COMPLETE,524288,eaeaf5747a9bf56687b25ff9f30e4585c36715814fc46bc5b4c93180b632ac0a,942e037f7f2c2539619c82b0732bd25200b18e9a96ceef00cd93480a5862adcf
GRAPH_FULL_PBRS,229,TRAINING_COMPLETE,524288,49fef375e716f764f958f2b0aab5f676016273ce33e7523ab6795d0f4a4cbaee,9054b40faf59f714c7404c50a59670c450fd3599ab2796380609c58d81c0e96a
GRAPH_FULL_PBRS,233,TRAINING_COMPLETE,524288,9ad4c67b33c26284da8467e1fcf6e20d7e659d8e0236eff2cf29f10db04c3e46,de1b6b42737e527a5b1609f3b61a88f09632f0a5d7879308edd295800fce8e22
GRAPH_FULL_PBRS,239,TRAINING_COMPLETE,524288,1b50e67abdf1a7ad1f017100fa2b483239297c2249d8d4a529fdaac7fe981b73,3b633796c519e50d7640091c4f2133f2638db0d1f9105e147434feed2a6d8204
GRAPH_FULL_PBRS,241,TRAINING_COMPLETE,524288,833466f5c9666a3a4c4eedeec1e5f54760491205b94850cb010c92dc3e0afe87,a095f1b5e5f4cd29d2b2d80da0280c14f7cfe0ad83caf82ae7057f059202a45c
GRAPH_FULL_PBRS,251,TRAINING_COMPLETE,524288,7e844e52b4a861f91a4ebff7e0b0f7e2268557c588d0766ad7ab00666d956710,d3a25b5cbad11509cc8dc33e69a964f2e29595faf2ff38f69cbd3f87f3e7f4ca
