method,seed,normalized_auc,rates,steps
GRAPH_COST_PBRS,241,0.5986328125,"[0.0, 0.0, 0.0, 0.625, 0.6796875, 0.90625]","[0, 32768, 65536, 131072, 262144, 524288]"
GRAPH_COST_PBRS,251,0.6412353515625,"[0.0, 0.0, 0.0, 0.513671875, 0.859375, 0.890625]","[0, 32768, 65536, 131072, 262144, 524288]"
GRAPH_FULL_PBRS,211,0.58203125,"[0.0, 0.0, 0.0, 0.0, 0.9375, 0.921875]","[0, 32768, 65536, 131072, 262144, 524288]"
GRAPH_FULL_PBRS,223,0.5357666015625,"[0.0, 0.0, 0.0, 0.623046875, 0.6328125, 0.7265625]","[0, 32768, 65536, 131072, 262144, 524288]"
GRAPH_FULL_PBRS,227,0.619140625,"[0.0, 0.0, 0.0, 0.4375, 0.828125, 0.90625]","[0, 32768, 65536, 131072, 262144, 524288]"
GRAPH_FULL_PBRS,229,0.453125,"[0.0, 0.0, 0.0, 0.0, 0.578125, 0.9453125]","[0, 32768, 65536, 131072, 262144, 524288]"
GRAPH_FULL_PBRS,233,0.6005859375,"[0.0, 0.0, 0.0, 0.59375, 0.7109375, 0.890625]","[0, 32768, 65536, 131072, 262144, 524288]"
GRAPH_FULL_PBRS,239,0.44140625,"[0.0, 0.0, 0.0, 0.0, 0.578125, 0.8984375]","[0, 32768, 65536, 131072, 262144, 524288]"
GRAPH_FULL_PBRS,241,0.59326171875,"[0.0, 0.0, 0.0, 0.5703125, 0.765625, 0.796875]","[0, 32768, 65536, 131072, 262144, 524288]"
GRAPH_FULL_PBRS,251,0.6636962890625,"[0.0, 0.0, 0.0, 0.763671875, 0.8046875, 0.875]","[0, 32768, 65536, 131072, 262144, 524288]"
