condition,method,n,profile,success
B_VALID_A_LOSS,GRAPH_COST_PBRS,1024,BASE64,0.9443359375
INVALIDATE_FIRST,GRAPH_COST_PBRS,1024,BASE64,0.83984375
LATE_LOSS,GRAPH_COST_PBRS,1024,BASE64,0.84765625
TWO_LOSSES,GRAPH_COST_PBRS,1024,BASE64,0.8095703125
FREE_ORDER,GRAPH_COST_PBRS,1024,LONG_CHAIN128,0.8076171875
A_STARTED,GRAPH_COST_PBRS,1024,LONG_CHAIN128,0.81640625
B_STARTED,GRAPH_COST_PBRS,1024,LONG_CHAIN128,0.859375
A_VALID_B_LOSS,GRAPH_COST_PBRS,1024,LONG_CHAIN128,0.875
B_VALID_A_LOSS,GRAPH_COST_PBRS,1024,LONG_CHAIN128,0.890625
INVALIDATE_FIRST,GRAPH_COST_PBRS,1024,LONG_CHAIN128,0.74609375
LATE_LOSS,GRAPH_COST_PBRS,1024,LONG_CHAIN128,0.75390625
TWO_LOSSES,GRAPH_COST_PBRS,1024,LONG_CHAIN128,0.734375
FREE_ORDER,GRAPH_FULL_PBRS,1024,BASE64,0.8984375
A_STARTED,GRAPH_FULL_PBRS,1024,BASE64,0.9248046875
B_STARTED,GRAPH_FULL_PBRS,1024,BASE64,0.93359375
A_VALID_B_LOSS,GRAPH_FULL_PBRS,1024,BASE64,0.98828125
B_VALID_A_LOSS,GRAPH_FULL_PBRS,1024,BASE64,0.8984375
INVALIDATE_FIRST,GRAPH_FULL_PBRS,1024,BASE64,0.88671875
LATE_LOSS,GRAPH_FULL_PBRS,1024,BASE64,0.9013671875
TWO_LOSSES,GRAPH_FULL_PBRS,1024,BASE64,0.787109375
FREE_ORDER,GRAPH_FULL_PBRS,1024,LONG_CHAIN128,0.73046875
A_STARTED,GRAPH_FULL_PBRS,1024,LONG_CHAIN128,0.77734375
B_STARTED,GRAPH_FULL_PBRS,1024,LONG_CHAIN128,0.8359375
A_VALID_B_LOSS,GRAPH_FULL_PBRS,1024,LONG_CHAIN128,0.95703125
B_VALID_A_LOSS,GRAPH_FULL_PBRS,1024,LONG_CHAIN128,0.85546875
INVALIDATE_FIRST,GRAPH_FULL_PBRS,1024,LONG_CHAIN128,0.72265625
LATE_LOSS,GRAPH_FULL_PBRS,1024,LONG_CHAIN128,0.7265625
TWO_LOSSES,GRAPH_FULL_PBRS,1024,LONG_CHAIN128,0.69140625
