task_id,deadline_seconds,d_ref,OPEN,PICK,PLACE,PLACE_BUFFER,copied_from_d0
T_A,60.0,3.7000000000002355,16.0,9.0,8.0,8.0,False
T_C,60.0,3.649999999999709,16.0,9.0,8.0,8.0,False
