method,transitions,closed_episodes,live_final_episode,success_episodes_closed,success_episodes_train_metrics,deadline_terminal_transitions,deadline_episodes_closed,no_candidate_episodes,mean_transitions_per_episode,median_transitions_per_episode,mean_simulator_seconds_per_episode,median_simulator_seconds_per_episode,success_per_1000_transitions,success_per_10000_simulator_seconds,train_original_episode_n,train_absent_episode_n,interaction_seconds
B2,8192,1777,ep-1778,1395,1395,191,0,0,4.607424071991002,4.0,22.901377952756974,19.849999999999323,170.2880859375,342.594855183057,0,1778,40718.65000000122
Full,8192,285,ep-286,94,94,133,0,0,28.643356643356643,8.0,37.397027972032404,42.7500000000075,11.474609375,87.88701843292593,230,56,10695.549999996803
