method,completed_updates,valid_transitions,train_success_episodes,step0_dev_success,final_dev_success,NaN_n,DP_nonzero_rate_conditioned_last,DP_nonzero_rate_conditioned_any_positive,DP_nonzero_rate_conditioned_values,residual_nonzero_rate_conditioned_last,residual_nonzero_rate_conditioned_any_positive,max_abs_residual,qualifying_n_sum,dp_nonzero_rate_all_last,dp_nonzero_rate_all_any_positive,residual_nonzero_rate_all_last,mask_error_n,B2_DP_Delta_strictly_zero,verdict_from_stage_status,source
B2,8,8192,1395,0.0,1.0,0,,False,;;;;;;;,,False,0.0,0,0.0,False,0.0,0,True,PASS,/home/__compress_data/xushijie/graph_cp_disr_v2_1/experiments/part_1_smoke/stage_1a/b2/seed_0/train_metrics.csv
Full,8,8192,94,0.0,1.0,0,,True,1.0;1.0;;;;;;,,True,0.020446443930268288,76,0.0,True,0.0,0,,PASS,/home/__compress_data/xushijie/graph_cp_disr_v2_1/experiments/part_1_smoke/stage_1a/full/seed_0/train_metrics.csv
