segment_kind,rollout_id,root_family_id,case_id,candidate_id,fixed_parameters,window_start,window_end,hold_evidence_observed,first_hold_evidence_time,hold_memory_observed,retry_or_recover_in_window,same_m1_interface,reference_label_status
reference_labeled_k5,L2RAR2_SELECT_00_820000:K5_brief_hold_loss,L2RAR2_SELECT_00_820000,K5_brief_hold_loss,B_count2,{},0.45,0.65,True,0.65,True,False,M1_requested_effect_gate,reference_labeled
reference_labeled_k5,L2RAR2_SELECT_00_820000:K5_brief_hold_loss,L2RAR2_SELECT_00_820000,K5_brief_hold_loss,C3_vector_rho035,"{""relative_rho_max"": 0.35}",0.45,0.65,True,0.5,True,False,M1_requested_effect_gate,reference_labeled
reference_labeled_k5,L2RAR2_SELECT_00_820000:K5_brief_hold_loss,L2RAR2_SELECT_00_820000,K5_brief_hold_loss,C3_vector_rho055,"{""relative_rho_max"": 0.55}",0.45,0.65,True,0.5,True,False,M1_requested_effect_gate,reference_labeled
reference_labeled_k5,L2RAR2_SELECT_02_820002:K5_brief_hold_loss,L2RAR2_SELECT_02_820002,K5_brief_hold_loss,B_count2,{},0.45,0.75,True,0.65,True,False,M1_requested_effect_gate,reference_labeled
reference_labeled_k5,L2RAR2_SELECT_02_820002:K5_brief_hold_loss,L2RAR2_SELECT_02_820002,K5_brief_hold_loss,C3_vector_rho035,"{""relative_rho_max"": 0.35}",0.45,0.75,True,0.5,True,False,M1_requested_effect_gate,reference_labeled
reference_labeled_k5,L2RAR2_SELECT_02_820002:K5_brief_hold_loss,L2RAR2_SELECT_02_820002,K5_brief_hold_loss,C3_vector_rho055,"{""relative_rho_max"": 0.55}",0.45,0.75,True,0.5,True,False,M1_requested_effect_gate,reference_labeled
reference_labeled_k5,L2RAR2_SELECT_03_820003:K5_brief_hold_loss,L2RAR2_SELECT_03_820003,K5_brief_hold_loss,B_count2,{},0.45,0.7,True,0.5,True,False,M1_requested_effect_gate,reference_labeled
reference_labeled_k5,L2RAR2_SELECT_03_820003:K5_brief_hold_loss,L2RAR2_SELECT_03_820003,K5_brief_hold_loss,C3_vector_rho035,"{""relative_rho_max"": 0.35}",0.45,0.7,True,0.5,True,False,M1_requested_effect_gate,reference_labeled
reference_labeled_k5,L2RAR2_SELECT_03_820003:K5_brief_hold_loss,L2RAR2_SELECT_03_820003,K5_brief_hold_loss,C3_vector_rho055,"{""relative_rho_max"": 0.55}",0.45,0.7,True,0.5,True,False,M1_requested_effect_gate,reference_labeled
reference_labeled_k5,L2RAR2_SELECT_04_820004:K5_brief_hold_loss,L2RAR2_SELECT_04_820004,K5_brief_hold_loss,B_count2,{},0.45,0.65,False,,False,False,M1_requested_effect_gate,reference_labeled
reference_labeled_k5,L2RAR2_SELECT_04_820004:K5_brief_hold_loss,L2RAR2_SELECT_04_820004,K5_brief_hold_loss,C3_vector_rho035,"{""relative_rho_max"": 0.35}",0.45,0.65,True,0.5,True,False,M1_requested_effect_gate,reference_labeled
reference_labeled_k5,L2RAR2_SELECT_04_820004:K5_brief_hold_loss,L2RAR2_SELECT_04_820004,K5_brief_hold_loss,C3_vector_rho055,"{""relative_rho_max"": 0.55}",0.45,0.65,True,0.5,True,False,M1_requested_effect_gate,reference_labeled
initial_transient_contact,L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,B_count2,{},0.45,0.6,True,0.45,True,True,M1_requested_effect_gate,reference_labeled
initial_transient_contact,L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,C3_vector_rho035,"{""relative_rho_max"": 0.35}",0.45,0.6,False,,False,False,M1_requested_effect_gate,reference_labeled
initial_transient_contact,L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,C3_vector_rho055,"{""relative_rho_max"": 0.55}",0.45,0.6,False,,False,False,M1_requested_effect_gate,reference_labeled
initial_transient_contact,L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,B_count2,{},0.45,0.6,True,0.45,True,True,M1_requested_effect_gate,reference_labeled
initial_transient_contact,L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,C3_vector_rho035,"{""relative_rho_max"": 0.35}",0.45,0.6,False,,False,False,M1_requested_effect_gate,reference_labeled
initial_transient_contact,L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,C3_vector_rho055,"{""relative_rho_max"": 0.55}",0.45,0.6,False,,False,False,M1_requested_effect_gate,reference_labeled
same_k8_later_hold,L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,B_count2,{},0.9,,True,0.95,True,True,M1_requested_effect_gate,reference_labeled
same_k8_later_hold,L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,C3_vector_rho035,"{""relative_rho_max"": 0.35}",0.9,,True,0.95,True,False,M1_requested_effect_gate,reference_labeled
same_k8_later_hold,L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,C3_vector_rho055,"{""relative_rho_max"": 0.55}",0.9,,True,0.95,True,False,M1_requested_effect_gate,reference_labeled
initial_transient_contact,L2RAR2_SELECT_07_820007:K2_touch_request_completes_without_hold,L2RAR2_SELECT_07_820007,K2_touch_request_completes_without_hold,B_count2,{},0.55,0.8,True,0.55,True,True,M1_requested_effect_gate,reference_labeled
initial_transient_contact,L2RAR2_SELECT_07_820007:K2_touch_request_completes_without_hold,L2RAR2_SELECT_07_820007,K2_touch_request_completes_without_hold,C3_vector_rho035,"{""relative_rho_max"": 0.35}",0.55,0.8,False,,False,False,M1_requested_effect_gate,reference_labeled
initial_transient_contact,L2RAR2_SELECT_07_820007:K2_touch_request_completes_without_hold,L2RAR2_SELECT_07_820007,K2_touch_request_completes_without_hold,C3_vector_rho055,"{""relative_rho_max"": 0.55}",0.55,0.8,True,0.6,True,True,M1_requested_effect_gate,reference_labeled
initial_transient_contact,L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue,L2RAR2_SELECT_07_820007,K8_acquisition_touch_then_continue,B_count2,{},0.55,0.8,True,0.55,True,True,M1_requested_effect_gate,reference_labeled
initial_transient_contact,L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue,L2RAR2_SELECT_07_820007,K8_acquisition_touch_then_continue,C3_vector_rho035,"{""relative_rho_max"": 0.35}",0.55,0.8,False,,False,False,M1_requested_effect_gate,reference_labeled
initial_transient_contact,L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue,L2RAR2_SELECT_07_820007,K8_acquisition_touch_then_continue,C3_vector_rho055,"{""relative_rho_max"": 0.55}",0.55,0.8,True,0.6,True,True,M1_requested_effect_gate,reference_labeled
same_k8_later_hold,L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue,L2RAR2_SELECT_07_820007,K8_acquisition_touch_then_continue,B_count2,{},1.1,,True,1.3,True,True,M1_requested_effect_gate,reference_labeled
same_k8_later_hold,L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue,L2RAR2_SELECT_07_820007,K8_acquisition_touch_then_continue,C3_vector_rho035,"{""relative_rho_max"": 0.35}",1.1,,True,1.15,True,False,M1_requested_effect_gate,reference_labeled
same_k8_later_hold,L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue,L2RAR2_SELECT_07_820007,K8_acquisition_touch_then_continue,C3_vector_rho055,"{""relative_rho_max"": 0.55}",1.1,,True,1.15,True,True,M1_requested_effect_gate,reference_labeled
