root_family_id,probe_mode,point,control_index,physics_step,time,weld_active,object_xyz,gripper_xyz,relative_position_xyz_m,drift_from_attach_m
L2RAR2_SELECT_00_820000,current_pipeline,before_attach,,,0.45000000000000023,False,"[-0.25144869763477246,-0.05668425552989169,0.5587995280469331]","[-0.2514660908503176,-0.05833907581775019,0.6861819040583501]","[1.7393215545169483e-05,0.0016548202878585022,-0.127382376011417]",
L2RAR2_SELECT_00_820000,current_pipeline,after_attach_before_step,,,0.45000000000000023,True,"[-0.25144869763477246,-0.05668425552989169,0.5587995280469331]","[-0.2514660908503176,-0.05833907581775019,0.6861819040583501]","[1.7393215545169483e-05,0.0016548202878585022,-0.127382376011417]",0.0
L2RAR2_SELECT_00_820000,current_pipeline,before_forced_write,1,0,0.45000000000000023,True,"[-0.25144869763477246,-0.05668425552989169,0.5587995280469331]","[-0.2514660908503177,-0.0583390758177502,0.7461819040583502]","[1.7393215545224994e-05,0.0016548202878585092,-0.18738237601141705]",0.06000000000000005
L2RAR2_SELECT_00_820000,current_pipeline,after_forced_write_before_step,1,1,0.45000000000000023,True,"[-0.2514660908503177,-0.0583390758177502,0.6161819040583502]","[-0.2514660908503177,-0.0583390758177502,0.7461819040583502]","[0.0,0.0,-0.13]",0.0030968836036668066
L2RAR2_SELECT_00_820000,current_pipeline,after_mj_step,1,1,0.46000000000000024,True,"[-0.2527258651972975,-0.03972225608911388,0.6115467603420752]","[-0.2514660908503177,-0.0583390758177502,0.7461819040583502]","[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]",0.018491706827449526
L2RAR2_SELECT_00_820000,current_pipeline,after_forced_write_before_step,1,2,0.46000000000000024,True,"[-0.2514660908503177,-0.0583390758177502,0.6161819040583502]","[-0.2514660908503177,-0.0583390758177502,0.7461819040583502]","[0.0,0.0,-0.13]",0.0030968836036668066
L2RAR2_SELECT_00_820000,current_pipeline,after_mj_step,1,2,0.47000000000000025,True,"[-0.2527258651972975,-0.03972225608911388,0.6115467603420752]","[-0.2514660908503177,-0.0583390758177502,0.7461819040583502]","[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]",0.018491706827449526
L2RAR2_SELECT_00_820000,current_pipeline,after_forced_write_before_step,1,3,0.47000000000000025,True,"[-0.2514660908503177,-0.0583390758177502,0.6161819040583502]","[-0.2514660908503177,-0.0583390758177502,0.7461819040583502]","[0.0,0.0,-0.13]",0.0030968836036668066
L2RAR2_SELECT_00_820000,current_pipeline,after_mj_step,1,3,0.48000000000000026,True,"[-0.2527258651972975,-0.03972225608911388,0.6115467603420752]","[-0.2514660908503177,-0.0583390758177502,0.7461819040583502]","[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]",0.018491706827449526
L2RAR2_SELECT_00_820000,current_pipeline,after_forced_write_before_step,1,4,0.48000000000000026,True,"[-0.2514660908503177,-0.0583390758177502,0.6161819040583502]","[-0.2514660908503177,-0.0583390758177502,0.7461819040583502]","[0.0,0.0,-0.13]",0.0030968836036668066
