method,events,root_families,positive_events,estimable_positive_events,positive_correct,K1_recall,K4_recall,K5_recall,K6_recall,wrong_or_unknown_positive_rate,K2_false_emergency_rate,K3_false_emergency_rate,K7_false_emergency_rate,K8_false_emergency_rate,premature_emergency_rate,any_conflict_rollout_rate,event_window_conflict_rate,unjustified_definite_on_missing_history_rate,unjustified_retry_on_missing_context_rate,regular_hold_evidence_rate,brief_hold_evidence_rate,touch_false_hold_evidence_rate,pause_hold_retention_rate,correct_detection_delay_p95_seconds,delay_observed_count,positive_missed_count,positive_unresolved_count,reference_unresolved,per_case_support,request_provenance_all
D0_generic_attempt_end,64,8,32,18,17,1.0,,,,,1.0,,0.0,0.25,,0.0,,,,,,0.25,,0.10000000000000009,17,1,14,19,"{""K1_hold_request_ends_without_hold"": {""estimable_events"": 8, ""events"": 8, ""reference_unresolved"": 0, ""root_families"": 8}, ""K2_touch_request_completes_without_hold"": {""estimable_events"": 8, ""events"": 8, ""reference_unresolved"": 0, ""root_families"": 8}, ""K3_normal_hold_pause_resume"": {""estimable_events"": 3, ""events"": 8, ""reference_unresolved"": 5, ""root_families"": 8}, ""K4_regular_hold_loss"": {""estimable_events"": 3, ""events"": 8, ""reference_unresolved"": 5, ""root_families"": 8}, ""K5_brief_hold_loss"": {""estimable_events"": 4, ""events"": 8, ""reference_unresolved"": 4, ""root_families"": 8}, ""K6_long_gap_after_loss"": {""estimable_events"": 3, ""events"": 8, ""reference_unresolved"": 5, ""root_families"": 8}, ""K7_commanded_release"": {""estimable_events"": 8, ""events"": 8, ""reference_unresolved"": 0, ""root_families"": 8}, ""K8_acquisition_touch_then_continue"": {""estimable_events"": 8, ""events"": 8, ""reference_unresolved"": 0, ""root_families"": 8}}",True
M1_requested_effect_gate,64,8,32,18,17,1.0,,,,,0.25,,0.0,0.25,,0.0,,0.0,0.0,,,0.25,,0.10000000000000009,17,1,14,19,"{""K1_hold_request_ends_without_hold"": {""estimable_events"": 8, ""events"": 8, ""reference_unresolved"": 0, ""root_families"": 8}, ""K2_touch_request_completes_without_hold"": {""estimable_events"": 8, ""events"": 8, ""reference_unresolved"": 0, ""root_families"": 8}, ""K3_normal_hold_pause_resume"": {""estimable_events"": 3, ""events"": 8, ""reference_unresolved"": 5, ""root_families"": 8}, ""K4_regular_hold_loss"": {""estimable_events"": 3, ""events"": 8, ""reference_unresolved"": 5, ""root_families"": 8}, ""K5_brief_hold_loss"": {""estimable_events"": 4, ""events"": 8, ""reference_unresolved"": 4, ""root_families"": 8}, ""K6_long_gap_after_loss"": {""estimable_events"": 3, ""events"": 8, ""reference_unresolved"": 5, ""root_families"": 8}, ""K7_commanded_release"": {""estimable_events"": 8, ""events"": 8, ""reference_unresolved"": 0, ""root_families"": 8}, ""K8_acquisition_touch_then_continue"": {""estimable_events"": 8, ""events"": 8, ""reference_unresolved"": 0, ""root_families"": 8}}",True
