logical_id,source_commit,source_path,resolved_path,exists,size_bytes,sha256,data_role,purpose
git:234cb6dc0e2767fa62cd2dbec4a868b8d0711bb2:artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/final_v1/final_report.md,234cb6dc0e2767fa62cd2dbec4a868b8d0711bb2,artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/final_v1/final_report.md,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/rounds/l2rar2_0_entry/source_tables/formal/final_report.md,True,2015,71b1f3908187a2e7565d95a8482a5f882cb33dd5167d03af77564c511bb87ee0,historical_diagnosis_only,formal historical record
git:234cb6dc0e2767fa62cd2dbec4a868b8d0711bb2:artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/final_v1/next_stage_handoff.json,234cb6dc0e2767fa62cd2dbec4a868b8d0711bb2,artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_v2/final_v1/next_stage_handoff.json,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/rounds/l2rar2_0_entry/source_tables/formal/next_stage_handoff.json,True,1119,a61b26606ecb92dea05ae24d73aa483fc5a373f45d3dd4eaf004c7e29c53d8fa,historical_diagnosis_only,formal historical record
git:ddf1c4e7582fccebc6c1820a56b0526ab297ec98:artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_r1_7/final_v1/final_report.md,ddf1c4e7582fccebc6c1820a56b0526ab297ec98,artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_r1_7/final_v1/final_report.md,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/rounds/l2rar2_0_entry/source_tables/maintenance/final_report.md,True,1979,a595d98027b9699f5a667e0833a47d8bd585fd6445343b81954f1b6ade67b76b,historical_diagnosis_only,maintenance diagnostic record
git:ddf1c4e7582fccebc6c1820a56b0526ab297ec98:artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_r1_7/final_v1/next_stage_handoff.json,ddf1c4e7582fccebc6c1820a56b0526ab297ec98,artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_r1_7/final_v1/next_stage_handoff.json,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/rounds/l2rar2_0_entry/source_tables/maintenance/next_stage_handoff.json,True,1072,8dd8e1737a5963914b1535a3b5df12bbcab55afcd63debb73aa8e0b6240e1c50,historical_diagnosis_only,maintenance diagnostic record
git:ddf1c4e7582fccebc6c1820a56b0526ab297ec98:artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_r1_7/final_v1/tables/candidate_metrics.csv,ddf1c4e7582fccebc6c1820a56b0526ab297ec98,artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_r1_7/final_v1/tables/candidate_metrics.csv,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/rounds/l2rar2_0_entry/source_tables/maintenance/candidate_metrics.csv,True,18017,b10a408afecd1e4c784821b0ea1fe340210792037498cc8c123d8c1d2681069c,historical_diagnosis_only,maintenance diagnostic record
git:ddf1c4e7582fccebc6c1820a56b0526ab297ec98:artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_r1_7/final_v1/tables/development_gates.csv,ddf1c4e7582fccebc6c1820a56b0526ab297ec98,artifacts/pathgraph_sarm/upgrade_v2/hold_evidence_l2rar1_r1_7/final_v1/tables/development_gates.csv,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/rounds/l2rar2_0_entry/source_tables/maintenance/development_gates.csv,True,1247,a75d2bd2b811da8cb7fce1ab7bb601a16ed3ca1ed363a759fb5fa7a5dff4503b,historical_diagnosis_only,maintenance diagnostic record
r1_7_cache:data/new_development/dev_fit_rollout_manifest.csv,ddf1c4e7582fccebc6c1820a56b0526ab297ec98,/tmp/l2ra_r1_7_full/data/new_development/dev_fit_rollout_manifest.csv,/tmp/l2ra_r1_7_full/data/new_development/dev_fit_rollout_manifest.csv,True,37993,f6c27a0a120ec7a997bd8f9b241db0acb8aaf5376172fed5d551c4f9015026b8,historical_r1_7_diagnosis,read-only T1 replay input
r1_7_cache:data/new_development/dev_select_rollout_manifest.csv,ddf1c4e7582fccebc6c1820a56b0526ab297ec98,/tmp/l2ra_r1_7_full/data/new_development/dev_select_rollout_manifest.csv,/tmp/l2ra_r1_7_full/data/new_development/dev_select_rollout_manifest.csv,True,38185,145c414361f882ccb677ae7b082a0d71cb59014636b9a265ae73da20da68cebe,historical_r1_7_diagnosis,read-only T1 replay input
r1_7_cache:rounds/l2rar1_3_development_selection/event_decisions.csv,ddf1c4e7582fccebc6c1820a56b0526ab297ec98,/tmp/l2ra_r1_7_full/rounds/l2rar1_3_development_selection/event_decisions.csv,/tmp/l2ra_r1_7_full/rounds/l2rar1_3_development_selection/event_decisions.csv,True,248654,47e80cff826a26c787eef60acf1880d664c9ef9ba86433798c1d04afb66c4140,historical_r1_7_diagnosis,read-only T1 replay input
r1_7_cache:features/feature_manifest.csv,ddf1c4e7582fccebc6c1820a56b0526ab297ec98,/tmp/l2ra_r1_7_full/features/feature_manifest.csv,/tmp/l2ra_r1_7_full/features/feature_manifest.csv,True,43514,16bc957867d6487e5d745e89c18cd26897f755a154a10ff2d640a0463d781158,historical_r1_7_diagnosis,read-only T1 replay input
