method,rollout_id,root_family_id,case_id,event_id,reference_type,expected_action,selected_action,selected_time,window_start,window_end,correct,missed,false_emergency,premature_emergency,event_window_conflict,rollout_conflict,hold_evidence_before_event,hold_memory_at_last_closed_observation,delay_seconds,reference_status,request_source
D0_generic_attempt_end,L2RAR2_SELECT_00_820000:K6_long_gap_after_loss,L2RAR2_SELECT_00_820000,K6_long_gap_after_loss,L2RAR2_SELECT_00_820000:K6_long_gap_after_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.9,0.8,1.3,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_00_820000:K6_long_gap_after_loss,L2RAR2_SELECT_00_820000,K6_long_gap_after_loss,L2RAR2_SELECT_00_820000:K6_long_gap_after_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.9,0.8,1.3,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_00_820000:K7_commanded_release,L2RAR2_SELECT_00_820000,K7_commanded_release,L2RAR2_SELECT_00_820000:K7_commanded_release:primary,commanded_release,none,none,,0.6,1.1,True,False,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_00_820000:K7_commanded_release,L2RAR2_SELECT_00_820000,K7_commanded_release,L2RAR2_SELECT_00_820000:K7_commanded_release:primary,commanded_release,none,none,,0.6,1.1,True,False,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_00_820000:K8_acquisition_touch_then_continue,L2RAR2_SELECT_00_820000,K8_acquisition_touch_then_continue,L2RAR2_SELECT_00_820000:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,none,,0.5,1.0,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_00_820000:K8_acquisition_touch_then_continue,L2RAR2_SELECT_00_820000,K8_acquisition_touch_then_continue,L2RAR2_SELECT_00_820000:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,none,,0.5,1.0,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_01_820001:K1_hold_request_ends_without_hold,L2RAR2_SELECT_01_820001,K1_hold_request_ends_without_hold,L2RAR2_SELECT_01_820001:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_01_820001:K1_hold_request_ends_without_hold,L2RAR2_SELECT_01_820001,K1_hold_request_ends_without_hold,L2RAR2_SELECT_01_820001:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_01_820001:K2_touch_request_completes_without_hold,L2RAR2_SELECT_01_820001,K2_touch_request_completes_without_hold,L2RAR2_SELECT_01_820001:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,retry_grasp,0.6,0.6,0.6,False,False,True,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_01_820001:K2_touch_request_completes_without_hold,L2RAR2_SELECT_01_820001,K2_touch_request_completes_without_hold,L2RAR2_SELECT_01_820001:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,none,,0.6,0.6,True,False,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_01_820001:K7_commanded_release,L2RAR2_SELECT_01_820001,K7_commanded_release,L2RAR2_SELECT_01_820001:K7_commanded_release:primary,commanded_release,none,none,,0.65,1.15,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_01_820001:K7_commanded_release,L2RAR2_SELECT_01_820001,K7_commanded_release,L2RAR2_SELECT_01_820001:K7_commanded_release:primary,commanded_release,none,none,,0.65,1.15,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_01_820001:K8_acquisition_touch_then_continue,L2RAR2_SELECT_01_820001,K8_acquisition_touch_then_continue,L2RAR2_SELECT_01_820001:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,none,,0.6,1.1,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_01_820001:K8_acquisition_touch_then_continue,L2RAR2_SELECT_01_820001,K8_acquisition_touch_then_continue,L2RAR2_SELECT_01_820001:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,none,,0.6,1.1,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_02_820002:K1_hold_request_ends_without_hold,L2RAR2_SELECT_02_820002,K1_hold_request_ends_without_hold,L2RAR2_SELECT_02_820002:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_02_820002:K1_hold_request_ends_without_hold,L2RAR2_SELECT_02_820002,K1_hold_request_ends_without_hold,L2RAR2_SELECT_02_820002:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_02_820002:K2_touch_request_completes_without_hold,L2RAR2_SELECT_02_820002,K2_touch_request_completes_without_hold,L2RAR2_SELECT_02_820002:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,retry_grasp,0.7,0.7,0.7,False,False,True,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_02_820002:K2_touch_request_completes_without_hold,L2RAR2_SELECT_02_820002,K2_touch_request_completes_without_hold,L2RAR2_SELECT_02_820002:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,none,,0.7,0.7,True,False,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_02_820002:K3_normal_hold_pause_resume,L2RAR2_SELECT_02_820002,K3_normal_hold_pause_resume,L2RAR2_SELECT_02_820002:K3_normal_hold_pause_resume:primary,held_pause_resume_no_failure,none,none,,0.7,1.2,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_02_820002:K3_normal_hold_pause_resume,L2RAR2_SELECT_02_820002,K3_normal_hold_pause_resume,L2RAR2_SELECT_02_820002:K3_normal_hold_pause_resume:primary,held_pause_resume_no_failure,none,none,,0.7,1.2,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_02_820002:K4_regular_hold_loss,L2RAR2_SELECT_02_820002,K4_regular_hold_loss,L2RAR2_SELECT_02_820002:K4_regular_hold_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,1.0,0.9,1.4,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_02_820002:K4_regular_hold_loss,L2RAR2_SELECT_02_820002,K4_regular_hold_loss,L2RAR2_SELECT_02_820002:K4_regular_hold_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,1.0,0.9,1.4,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_02_820002:K5_brief_hold_loss,L2RAR2_SELECT_02_820002,K5_brief_hold_loss,L2RAR2_SELECT_02_820002:K5_brief_hold_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.85,0.75,1.25,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_02_820002:K5_brief_hold_loss,L2RAR2_SELECT_02_820002,K5_brief_hold_loss,L2RAR2_SELECT_02_820002:K5_brief_hold_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.85,0.75,1.25,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_02_820002:K6_long_gap_after_loss,L2RAR2_SELECT_02_820002,K6_long_gap_after_loss,L2RAR2_SELECT_02_820002:K6_long_gap_after_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,1.0,0.9,1.4,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_02_820002:K6_long_gap_after_loss,L2RAR2_SELECT_02_820002,K6_long_gap_after_loss,L2RAR2_SELECT_02_820002:K6_long_gap_after_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,1.0,0.9,1.4,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_02_820002:K7_commanded_release,L2RAR2_SELECT_02_820002,K7_commanded_release,L2RAR2_SELECT_02_820002:K7_commanded_release:primary,commanded_release,none,none,,0.7,1.2,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_02_820002:K7_commanded_release,L2RAR2_SELECT_02_820002,K7_commanded_release,L2RAR2_SELECT_02_820002:K7_commanded_release:primary,commanded_release,none,none,,0.7,1.2,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_02_820002:K8_acquisition_touch_then_continue,L2RAR2_SELECT_02_820002,K8_acquisition_touch_then_continue,L2RAR2_SELECT_02_820002:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,none,,0.7,1.2,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_02_820002:K8_acquisition_touch_then_continue,L2RAR2_SELECT_02_820002,K8_acquisition_touch_then_continue,L2RAR2_SELECT_02_820002:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,none,,0.7,1.2,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_03_820003:K1_hold_request_ends_without_hold,L2RAR2_SELECT_03_820003,K1_hold_request_ends_without_hold,L2RAR2_SELECT_03_820003:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_03_820003:K1_hold_request_ends_without_hold,L2RAR2_SELECT_03_820003,K1_hold_request_ends_without_hold,L2RAR2_SELECT_03_820003:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_03_820003:K2_touch_request_completes_without_hold,L2RAR2_SELECT_03_820003,K2_touch_request_completes_without_hold,L2RAR2_SELECT_03_820003:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,retry_grasp,0.8,0.8,0.8,False,False,True,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_03_820003:K2_touch_request_completes_without_hold,L2RAR2_SELECT_03_820003,K2_touch_request_completes_without_hold,L2RAR2_SELECT_03_820003:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,none,,0.8,0.8,True,False,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_03_820003:K5_brief_hold_loss,L2RAR2_SELECT_03_820003,K5_brief_hold_loss,L2RAR2_SELECT_03_820003:K5_brief_hold_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.8,0.7,1.2,True,False,False,False,False,False,True,false,0.10000000000000009,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_03_820003:K5_brief_hold_loss,L2RAR2_SELECT_03_820003,K5_brief_hold_loss,L2RAR2_SELECT_03_820003:K5_brief_hold_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.8,0.7,1.2,True,False,False,False,False,False,True,false,0.10000000000000009,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_03_820003:K7_commanded_release,L2RAR2_SELECT_03_820003,K7_commanded_release,L2RAR2_SELECT_03_820003:K7_commanded_release:primary,commanded_release,none,none,,0.65,1.15,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_03_820003:K7_commanded_release,L2RAR2_SELECT_03_820003,K7_commanded_release,L2RAR2_SELECT_03_820003:K7_commanded_release:primary,commanded_release,none,none,,0.65,1.15,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_03_820003:K8_acquisition_touch_then_continue,L2RAR2_SELECT_03_820003,K8_acquisition_touch_then_continue,L2RAR2_SELECT_03_820003:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,none,,0.8,1.3,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_03_820003:K8_acquisition_touch_then_continue,L2RAR2_SELECT_03_820003,K8_acquisition_touch_then_continue,L2RAR2_SELECT_03_820003:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,none,,0.8,1.3,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_04_820004:K1_hold_request_ends_without_hold,L2RAR2_SELECT_04_820004,K1_hold_request_ends_without_hold,L2RAR2_SELECT_04_820004:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_04_820004:K1_hold_request_ends_without_hold,L2RAR2_SELECT_04_820004,K1_hold_request_ends_without_hold,L2RAR2_SELECT_04_820004:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_04_820004:K2_touch_request_completes_without_hold,L2RAR2_SELECT_04_820004,K2_touch_request_completes_without_hold,L2RAR2_SELECT_04_820004:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,retry_grasp,0.5,0.5,0.5,False,False,True,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_04_820004:K2_touch_request_completes_without_hold,L2RAR2_SELECT_04_820004,K2_touch_request_completes_without_hold,L2RAR2_SELECT_04_820004:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,none,,0.5,0.5,True,False,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_04_820004:K3_normal_hold_pause_resume,L2RAR2_SELECT_04_820004,K3_normal_hold_pause_resume,L2RAR2_SELECT_04_820004:K3_normal_hold_pause_resume:primary,held_pause_resume_no_failure,none,none,,0.6,1.1,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_04_820004:K3_normal_hold_pause_resume,L2RAR2_SELECT_04_820004,K3_normal_hold_pause_resume,L2RAR2_SELECT_04_820004:K3_normal_hold_pause_resume:primary,held_pause_resume_no_failure,none,none,,0.6,1.1,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_04_820004:K4_regular_hold_loss,L2RAR2_SELECT_04_820004,K4_regular_hold_loss,L2RAR2_SELECT_04_820004:K4_regular_hold_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.9,0.8,1.3,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_04_820004:K4_regular_hold_loss,L2RAR2_SELECT_04_820004,K4_regular_hold_loss,L2RAR2_SELECT_04_820004:K4_regular_hold_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.9,0.8,1.3,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_04_820004:K5_brief_hold_loss,L2RAR2_SELECT_04_820004,K5_brief_hold_loss,L2RAR2_SELECT_04_820004:K5_brief_hold_loss:primary,held_object_loss_recovery_required,recover_object,none,,0.65,1.15,False,True,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_04_820004:K5_brief_hold_loss,L2RAR2_SELECT_04_820004,K5_brief_hold_loss,L2RAR2_SELECT_04_820004:K5_brief_hold_loss:primary,held_object_loss_recovery_required,recover_object,none,,0.65,1.15,False,True,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_04_820004:K6_long_gap_after_loss,L2RAR2_SELECT_04_820004,K6_long_gap_after_loss,L2RAR2_SELECT_04_820004:K6_long_gap_after_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.9,0.8,1.3,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_04_820004:K6_long_gap_after_loss,L2RAR2_SELECT_04_820004,K6_long_gap_after_loss,L2RAR2_SELECT_04_820004:K6_long_gap_after_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.9,0.8,1.3,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_04_820004:K7_commanded_release,L2RAR2_SELECT_04_820004,K7_commanded_release,L2RAR2_SELECT_04_820004:K7_commanded_release:primary,commanded_release,none,none,,0.6,1.1,True,False,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_04_820004:K7_commanded_release,L2RAR2_SELECT_04_820004,K7_commanded_release,L2RAR2_SELECT_04_820004:K7_commanded_release:primary,commanded_release,none,none,,0.6,1.1,True,False,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_04_820004:K8_acquisition_touch_then_continue,L2RAR2_SELECT_04_820004,K8_acquisition_touch_then_continue,L2RAR2_SELECT_04_820004:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,none,,0.5,1.0,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_04_820004:K8_acquisition_touch_then_continue,L2RAR2_SELECT_04_820004,K8_acquisition_touch_then_continue,L2RAR2_SELECT_04_820004:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,none,,0.5,1.0,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_05_820005:K1_hold_request_ends_without_hold,L2RAR2_SELECT_05_820005,K1_hold_request_ends_without_hold,L2RAR2_SELECT_05_820005:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_05_820005:K1_hold_request_ends_without_hold,L2RAR2_SELECT_05_820005,K1_hold_request_ends_without_hold,L2RAR2_SELECT_05_820005:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,recover_object,0.6,0.6,0.6,False,False,True,True,False,False,True,false,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,recover_object,0.6,0.6,0.6,False,False,True,True,False,False,True,false,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_05_820005:K7_commanded_release,L2RAR2_SELECT_05_820005,K7_commanded_release,L2RAR2_SELECT_05_820005:K7_commanded_release:primary,commanded_release,none,none,,0.65,1.15,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_05_820005:K7_commanded_release,L2RAR2_SELECT_05_820005,K7_commanded_release,L2RAR2_SELECT_05_820005:K7_commanded_release:primary,commanded_release,none,none,,0.65,1.15,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,recover_object,0.6,0.6,1.1,False,False,True,True,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,recover_object,0.6,0.6,1.1,False,False,True,True,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_06_820006:K1_hold_request_ends_without_hold,L2RAR2_SELECT_06_820006,K1_hold_request_ends_without_hold,L2RAR2_SELECT_06_820006:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_06_820006:K1_hold_request_ends_without_hold,L2RAR2_SELECT_06_820006,K1_hold_request_ends_without_hold,L2RAR2_SELECT_06_820006:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_06_820006:K2_touch_request_completes_without_hold,L2RAR2_SELECT_06_820006,K2_touch_request_completes_without_hold,L2RAR2_SELECT_06_820006:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,retry_grasp,0.7,0.7,0.7,False,False,True,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
