root_family_id,rollout_id,case_id,view,retry,recover,selected_action,physical_family_credit
L2RAR2_SELECT_00_820000,L2RAR2_SELECT_00_820000:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,history_missing,False,False,needs_observation,0
L2RAR2_SELECT_00_820000,L2RAR2_SELECT_00_820000:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,context_missing,False,False,needs_observation,0
L2RAR2_SELECT_00_820000,L2RAR2_SELECT_00_820000:K4_regular_hold_loss,K4_regular_hold_loss,context_missing_held_loss,False,True,recover_object,0
L2RAR2_SELECT_01_820001,L2RAR2_SELECT_01_820001:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,history_missing,False,False,needs_observation,0
L2RAR2_SELECT_01_820001,L2RAR2_SELECT_01_820001:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,context_missing,False,False,needs_observation,0
L2RAR2_SELECT_02_820002,L2RAR2_SELECT_02_820002:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,history_missing,False,False,needs_observation,0
L2RAR2_SELECT_02_820002,L2RAR2_SELECT_02_820002:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,context_missing,False,False,needs_observation,0
L2RAR2_SELECT_02_820002,L2RAR2_SELECT_02_820002:K4_regular_hold_loss,K4_regular_hold_loss,context_missing_held_loss,False,True,recover_object,0
L2RAR2_SELECT_03_820003,L2RAR2_SELECT_03_820003:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,history_missing,False,False,needs_observation,0
L2RAR2_SELECT_03_820003,L2RAR2_SELECT_03_820003:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,context_missing,False,False,needs_observation,0
L2RAR2_SELECT_04_820004,L2RAR2_SELECT_04_820004:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,history_missing,False,False,needs_observation,0
L2RAR2_SELECT_04_820004,L2RAR2_SELECT_04_820004:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,context_missing,False,False,needs_observation,0
L2RAR2_SELECT_04_820004,L2RAR2_SELECT_04_820004:K4_regular_hold_loss,K4_regular_hold_loss,context_missing_held_loss,False,True,recover_object,0
L2RAR2_SELECT_05_820005,L2RAR2_SELECT_05_820005:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,history_missing,False,False,needs_observation,0
L2RAR2_SELECT_05_820005,L2RAR2_SELECT_05_820005:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,context_missing,False,False,needs_observation,0
L2RAR2_SELECT_06_820006,L2RAR2_SELECT_06_820006:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,history_missing,False,False,needs_observation,0
L2RAR2_SELECT_06_820006,L2RAR2_SELECT_06_820006:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,context_missing,False,False,needs_observation,0
L2RAR2_SELECT_07_820007,L2RAR2_SELECT_07_820007:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,history_missing,False,False,needs_observation,0
L2RAR2_SELECT_07_820007,L2RAR2_SELECT_07_820007:K1_hold_request_ends_without_hold,K1_hold_request_ends_without_hold,context_missing,False,False,needs_observation,0
