epoch,loss
0,3.3979915638764697
1,1.708376544713974
2,1.378277458747228
3,1.2212729156017303
4,1.089358143011729
5,1.0287545174360275
6,0.951182480653127
7,0.9098645587762196
8,0.8173252830902735
9,0.7868912518024445
10,0.7799290344119072
11,0.7534672220547994
12,0.773437750339508
13,0.7111133173108101
14,0.7493107696374257
15,0.6926317423582077
16,0.7100869248310725
17,0.6558389688531557
18,0.6466257542371749
19,0.6682602236668269
20,0.6487814749280612
21,0.6150619169076283
22,0.6180262714624405
23,0.6219078208009402
24,0.6165395756562551
25,0.5989319324493408
26,0.5904330745339393
27,0.579156969487667
28,0.5835086748003959
29,0.6036314740777016
30,0.5908215309182803
31,0.5470742811759313
32,0.5735213841001193
33,0.539222710331281
34,0.511819671591123
35,0.5925554210940996
36,0.5891071339448293
37,0.5746735761562983
38,0.5396900931994121
39,0.5817101592818896
40,0.5647066374619801
41,0.5418327232201894
42,0.5320644130309423
43,0.5240255191922187
44,0.5453327258427938
45,0.5891231546799341
46,0.5560894509156545
47,0.5443445588151614
48,0.5373450497786204
49,0.5197858040531477
50,0.5116718605160713
51,0.5004045287768046
52,0.4789930914839109
53,0.4964877376953761
54,0.4952522466580073
55,0.5167130475242933
56,0.48316507786512375
57,0.5058855593204499
58,0.5410914301872254
59,0.5097767973939578
60,0.48952757120132445
61,0.5013185118635496
62,0.5026451264818509
63,0.47968792766332624
64,0.5128829941153527
65,0.5227212006847064
66,0.5001149162650108
67,0.4751542622844378
68,0.4565479705731074
69,0.47635882993539175
70,0.47487360586722693
71,0.5013599634170532
72,0.5131381546457608
73,0.45275826354821525
74,0.45153682132562
75,0.44150990347067515
76,0.4422039027015368
77,0.48427495261033376
78,0.4581634218494097
79,0.4772195319334666
