method,split,event_id,event,precision,recall,f1,mae,tp,fp,fn
budget0_s641,val,1,contact_on,0.9818181818181818,1.0,0.9908256880733944,0.0,108,2,0
budget0_s641,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget0_s641,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
budget0_s641,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
budget0_s641,val,5,contact_reestablished,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.0,21,2,2
budget0_s641,val,6,detour_start,0.038461538461538464,0.1016949152542373,0.05581395348837209,1.6666666666666667,6,150,53
budget0_s641,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
budget0_s641,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
budget0_s641,val,9,terminal_failure,0.23684210526315788,0.9,0.375,0.0,18,58,2
budget0_s641,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
budget0_s641,test,1,contact_on,0.8852459016393442,1.0,0.9391304347826086,0.0,108,14,0
budget0_s641,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget0_s641,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
budget0_s641,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
budget0_s641,test,5,contact_reestablished,0.7692307692307693,0.4166666666666667,0.5405405405405406,0.0,10,3,14
budget0_s641,test,6,detour_start,0.005988023952095809,0.041666666666666664,0.010471204188481676,2.0,1,166,23
budget0_s641,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
budget0_s641,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
budget0_s641,test,9,terminal_failure,0.3829787234042553,0.8571428571428571,0.5294117647058824,0.0,18,29,3
budget0_s641,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
budget0_s642,val,1,contact_on,0.8244274809160306,1.0,0.9037656903765691,0.0,108,23,0
budget0_s642,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget0_s642,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
budget0_s642,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
budget0_s642,val,5,contact_reestablished,0.5,0.043478260869565216,0.08,0.0,1,1,22
budget0_s642,val,6,detour_start,0.02877697841726619,0.06779661016949153,0.04040404040404041,1.75,4,135,55
budget0_s642,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
budget0_s642,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
budget0_s642,val,9,terminal_failure,0.23684210526315788,0.9,0.375,0.0,18,58,2
budget0_s642,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
budget0_s642,test,1,contact_on,0.8120300751879699,1.0,0.896265560165975,0.0,108,25,0
budget0_s642,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget0_s642,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
budget0_s642,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
budget0_s642,test,5,contact_reestablished,0.5,0.08333333333333333,0.14285714285714285,0.0,2,2,22
budget0_s642,test,6,detour_start,0.0,0.0,0.0,nan,0,168,24
budget0_s642,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
budget0_s642,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
budget0_s642,test,9,terminal_failure,0.4090909090909091,0.8571428571428571,0.5538461538461539,0.0,18,26,3
budget0_s642,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
budget0_s643,val,1,contact_on,0.8709677419354839,1.0,0.9310344827586207,0.0,108,16,0
budget0_s643,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget0_s643,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
budget0_s643,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
budget0_s643,val,5,contact_reestablished,0.875,0.30434782608695654,0.4516129032258065,0.0,7,1,16
budget0_s643,val,6,detour_start,0.007936507936507936,0.01694915254237288,0.010810810810810811,1.0,1,125,58
budget0_s643,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
budget0_s643,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
budget0_s643,val,9,terminal_failure,0.23684210526315788,0.9,0.375,0.0,18,58,2
budget0_s643,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
budget0_s643,test,1,contact_on,0.8503937007874016,1.0,0.9191489361702128,0.0,108,19,0
budget0_s643,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget0_s643,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
budget0_s643,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
budget0_s643,test,5,contact_reestablished,0.625,0.20833333333333334,0.3125,0.0,5,3,19
budget0_s643,test,6,detour_start,0.0,0.0,0.0,nan,0,154,24
budget0_s643,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
budget0_s643,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
budget0_s643,test,9,terminal_failure,0.4090909090909091,0.8571428571428571,0.5538461538461539,0.0,18,26,3
budget0_s643,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
budget30_entropy_x_event_importance_s641,val,1,contact_on,0.9,1.0,0.9473684210526316,0.0,108,12,0
budget30_entropy_x_event_importance_s641,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget30_entropy_x_event_importance_s641,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
budget30_entropy_x_event_importance_s641,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
budget30_entropy_x_event_importance_s641,val,5,contact_reestablished,0.8461538461538461,0.4782608695652174,0.6111111111111112,0.0,11,2,12
budget30_entropy_x_event_importance_s641,val,6,detour_start,0.041666666666666664,0.1016949152542373,0.05911330049261084,1.6666666666666667,6,138,53
budget30_entropy_x_event_importance_s641,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
budget30_entropy_x_event_importance_s641,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
budget30_entropy_x_event_importance_s641,val,9,terminal_failure,0.23684210526315788,0.9,0.375,0.0,18,58,2
budget30_entropy_x_event_importance_s641,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
budget30_entropy_x_event_importance_s641,test,1,contact_on,0.8709677419354839,1.0,0.9310344827586207,0.0,108,16,0
budget30_entropy_x_event_importance_s641,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget30_entropy_x_event_importance_s641,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
budget30_entropy_x_event_importance_s641,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
budget30_entropy_x_event_importance_s641,test,5,contact_reestablished,0.7272727272727273,0.3333333333333333,0.4571428571428572,0.0,8,3,16
budget30_entropy_x_event_importance_s641,test,6,detour_start,0.006211180124223602,0.041666666666666664,0.01081081081081081,2.0,1,160,23
budget30_entropy_x_event_importance_s641,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
budget30_entropy_x_event_importance_s641,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
budget30_entropy_x_event_importance_s641,test,9,terminal_failure,0.4090909090909091,0.8571428571428571,0.5538461538461539,0.0,18,26,3
budget30_entropy_x_event_importance_s641,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
budget30_entropy_x_event_importance_s642,val,1,contact_on,1.0,1.0,1.0,0.0,108,0,0
