queue,name,budget,strategy,seed,clips,split,test_used
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget60_random_stratified_s642.csv,budget60_random_stratified_s642.csv,60,random_stratified,642,60,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget60_random_stratified_s643.csv,budget60_random_stratified_s643.csv,60,random_stratified,643,60,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget60_entropy_only_s641.csv,budget60_entropy_only_s641.csv,60,entropy_only,641,60,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget60_entropy_only_s642.csv,budget60_entropy_only_s642.csv,60,entropy_only,642,60,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget60_entropy_only_s643.csv,budget60_entropy_only_s643.csv,60,entropy_only,643,60,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget60_entropy_x_event_importance_s641.csv,budget60_entropy_x_event_importance_s641.csv,60,entropy_x_event_importance,641,60,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget60_entropy_x_event_importance_s642.csv,budget60_entropy_x_event_importance_s642.csv,60,entropy_x_event_importance,642,60,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget60_entropy_x_event_importance_s643.csv,budget60_entropy_x_event_importance_s643.csv,60,entropy_x_event_importance,643,60,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget60_expected_boundary_disagreement_s641.csv,budget60_expected_boundary_disagreement_s641.csv,60,expected_boundary_disagreement,641,60,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget60_expected_boundary_disagreement_s642.csv,budget60_expected_boundary_disagreement_s642.csv,60,expected_boundary_disagreement,642,60,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget60_expected_boundary_disagreement_s643.csv,budget60_expected_boundary_disagreement_s643.csv,60,expected_boundary_disagreement,643,60,train,False
