task_id,method,success_rate,n
transport_dual_order,bc_all,0.8333333333333334,300
transport_dual_order,linear_sarm_equiv,0.8333333333333334,300
transport_dual_order,pathgraph_reward_v1_locked,0.8333333333333334,300
transport_dual_order,sequential_transition,0.6666666666666666,300
transport_recovery,bc_all,0.6666666666666666,450
transport_recovery,linear_sarm_equiv,0.8888888888888888,450
transport_recovery,pathgraph_reward_v1_locked,1.0,450
transport_recovery,sequential_transition,0.8888888888888888,450
