task_id,condition,policy_seed,rollout_id,pathgraph_success,comparator_success
transport_recovery,gripper_reopen,20260909,0,1,0
transport_recovery,gripper_reopen,20260909,1,1,0
transport_recovery,gripper_reopen,20260909,2,1,0
transport_recovery,gripper_reopen,20260909,3,1,0
transport_recovery,gripper_reopen,20260909,4,1,0
transport_recovery,gripper_reopen,20260909,5,1,0
transport_recovery,gripper_reopen,20260909,6,1,0
transport_recovery,gripper_reopen,20260909,7,1,0
transport_recovery,gripper_reopen,20260909,8,1,0
transport_recovery,gripper_reopen,20260909,9,1,0
transport_recovery,gripper_reopen,20260909,10,1,0
transport_recovery,gripper_reopen,20260909,11,1,0
