round_id,filename,sha256,files,externalized_during_packaging
l1v_0_scenes_and_protocol,l1v_0_scenes_and_protocol.zip,9ce4b95a268e330686385108b53519cdf44cb4100334cdbbfaa89bf91a1bee14,9,0
l1v_1_visual_smoke_and_pilot,l1v_1_visual_smoke_and_pilot.zip,7d9e5cfb0952da1a87eb342858899680f8e188a62939786a79c55a8bb80ed56c,26,0
l1v_2_frozen_candidates,l1v_2_frozen_candidates.zip,78367cf7327e7dd103a8ed35c3c41feca107bb1f146fe314a6496de7d3e83590,60,0
l1v_3_semantic_review,l1v_3_semantic_review.zip,b6c3dd3d8ae7242d154bd92ceaefba732a659682f3b316ff474855440c959751,6,0
l1v_4_paired_results,l1v_4_paired_results.zip,94b677c7e065da1305886a822e6514fe3f8ab3a4b6e4124c2eabb823b3adbcdd,12,0
l1v_5_layer2_handoff,l1v_5_layer2_handoff.zip,12ddf3f8acee90b29d0ddddd355318ebcf84145e65144a5c352aa1d39ce7ac5a,19,0
