denominator,eligible_family_count,false_terminal_claim_rate,graph_id,label_origin,numerator,provenance,root_family_id,scenario_for_analysis_only,split,terminal_claim_denominator,transition_coverage,typed_occurrence_coverage,unknown_rate
41,12,1.0,G0_raw_topology,simulator_info.events,8,confirmation_same_input_frozen_pipeline,u4b_v1_60,nominal_success,confirm,4,0.1951219512195122,0.0,1.0
73,12,1.0,G0_raw_topology,simulator_info.events,9,confirmation_same_input_frozen_pipeline,u4b_v1_61,grazing_contact,confirm,43,0.1232876712328767,0.0,1.0
56,12,1.0,G0_raw_topology,simulator_info.events,12,confirmation_same_input_frozen_pipeline,u4b_v1_62,slip_recovery,confirm,12,0.21428571428571427,0.0,1.0
41,12,1.0,G0_raw_topology,simulator_info.events,8,confirmation_same_input_frozen_pipeline,u4b_v1_63,obstacle_detour,confirm,4,0.1951219512195122,0.0,1.0
13,12,0.0,G0_raw_topology,simulator_info.events,8,confirmation_same_input_frozen_pipeline,u4b_v1_64,terminal_collision,confirm,4,0.6153846153846154,0.0,1.0
61,12,1.0,G0_raw_topology,simulator_info.events,9,confirmation_same_input_frozen_pipeline,u4b_v1_65,stagnation,confirm,7,0.14754098360655737,0.0,1.0
33,12,,G0_raw_topology,simulator_info.events,14,confirmation_same_input_frozen_pipeline,u4b_v1_66,nominal_success,confirm,0,0.42424242424242425,0.0,1.0
40,12,1.0,G0_raw_topology,simulator_info.events,13,confirmation_same_input_frozen_pipeline,u4b_v1_67,grazing_contact,confirm,4,0.325,0.0,1.0
51,12,1.0,G0_raw_topology,simulator_info.events,18,confirmation_same_input_frozen_pipeline,u4b_v1_68,slip_recovery,confirm,8,0.35294117647058826,0.0,1.0
39,12,,G0_raw_topology,simulator_info.events,21,confirmation_same_input_frozen_pipeline,u4b_v1_69,obstacle_detour,confirm,0,0.5384615384615384,0.0,1.0
29,12,0.0,G0_raw_topology,simulator_info.events,12,confirmation_same_input_frozen_pipeline,u4b_v1_70,terminal_collision,confirm,4,0.41379310344827586,0.0,1.0
51,12,,G0_raw_topology,simulator_info.events,24,confirmation_same_input_frozen_pipeline,u4b_v1_71,stagnation,confirm,0,0.47058823529411764,0.0,1.0
41,12,1.0,G1_semantic_only,simulator_info.events,8,confirmation_same_input_frozen_pipeline,u4b_v1_60,nominal_success,confirm,4,0.1951219512195122,0.0,1.0
73,12,1.0,G1_semantic_only,simulator_info.events,9,confirmation_same_input_frozen_pipeline,u4b_v1_61,grazing_contact,confirm,43,0.1232876712328767,0.0,1.0
56,12,1.0,G1_semantic_only,simulator_info.events,12,confirmation_same_input_frozen_pipeline,u4b_v1_62,slip_recovery,confirm,12,0.21428571428571427,0.0,1.0
41,12,1.0,G1_semantic_only,simulator_info.events,8,confirmation_same_input_frozen_pipeline,u4b_v1_63,obstacle_detour,confirm,4,0.1951219512195122,0.0,1.0
13,12,0.0,G1_semantic_only,simulator_info.events,8,confirmation_same_input_frozen_pipeline,u4b_v1_64,terminal_collision,confirm,4,0.6153846153846154,0.0,1.0
61,12,1.0,G1_semantic_only,simulator_info.events,9,confirmation_same_input_frozen_pipeline,u4b_v1_65,stagnation,confirm,7,0.14754098360655737,0.01639344262295082,0.9836065573770492
33,12,,G1_semantic_only,simulator_info.events,14,confirmation_same_input_frozen_pipeline,u4b_v1_66,nominal_success,confirm,0,0.42424242424242425,0.21212121212121213,0.7878787878787878
40,12,1.0,G1_semantic_only,simulator_info.events,13,confirmation_same_input_frozen_pipeline,u4b_v1_67,grazing_contact,confirm,4,0.325,0.2,0.8
51,12,1.0,G1_semantic_only,simulator_info.events,18,confirmation_same_input_frozen_pipeline,u4b_v1_68,slip_recovery,confirm,8,0.35294117647058826,0.21568627450980393,0.7843137254901961
39,12,,G1_semantic_only,simulator_info.events,21,confirmation_same_input_frozen_pipeline,u4b_v1_69,obstacle_detour,confirm,0,0.5384615384615384,0.38461538461538464,0.6153846153846154
29,12,0.0,G1_semantic_only,simulator_info.events,12,confirmation_same_input_frozen_pipeline,u4b_v1_70,terminal_collision,confirm,4,0.41379310344827586,0.13793103448275862,0.8620689655172413
51,12,,G1_semantic_only,simulator_info.events,24,confirmation_same_input_frozen_pipeline,u4b_v1_71,stagnation,confirm,0,0.47058823529411764,0.35294117647058826,0.6470588235294117
41,12,,G2_evidence_edited,simulator_info.events,8,confirmation_same_input_frozen_pipeline,u4b_v1_60,nominal_success,confirm,0,0.1951219512195122,0.0,1.0
73,12,1.0,G2_evidence_edited,simulator_info.events,9,confirmation_same_input_frozen_pipeline,u4b_v1_61,grazing_contact,confirm,3,0.1232876712328767,0.0,1.0
56,12,,G2_evidence_edited,simulator_info.events,12,confirmation_same_input_frozen_pipeline,u4b_v1_62,slip_recovery,confirm,0,0.21428571428571427,0.0,1.0
41,12,,G2_evidence_edited,simulator_info.events,8,confirmation_same_input_frozen_pipeline,u4b_v1_63,obstacle_detour,confirm,0,0.1951219512195122,0.0,1.0
13,12,,G2_evidence_edited,simulator_info.events,8,confirmation_same_input_frozen_pipeline,u4b_v1_64,terminal_collision,confirm,0,0.6153846153846154,0.0,1.0
61,12,,G2_evidence_edited,simulator_info.events,9,confirmation_same_input_frozen_pipeline,u4b_v1_65,stagnation,confirm,0,0.14754098360655737,0.01639344262295082,0.9836065573770492
