family_id,case_id,method,rollout,positive,physical_loss,signal_exposed,max_z,contact_false_count,prehold_count,prehold_noise,object_scale,anchor_x,anchor_y
L2RAR2_R24_BOUNDARY_00_896000,R24C7_regrasp_disturbance,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__RECOVERY_DISABLED,False,True,True,5623.939189576814,2,2,0.0001,6.621720835388424,-0.3042995677600615,10.471546834755156
L2RAR2_R24_BOUNDARY_00_896000,R24C8_secondary_loss,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,False,True,True,110.9585550716015,31,3,0.023578684392474878,6.591608260818253,-0.1815261044176708,10.412323285817259
L2RAR2_R24_BOUNDARY_00_896000,R24C8_secondary_loss,O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_RAW,False,True,True,52.98205704835291,37,3,0.06183839203991797,6.591608260818253,-0.5009892086330865,10.412323285817259
L2RAR2_R24_BOUNDARY_00_896000,R24C8_secondary_loss,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__RECOVERY_DISABLED,False,True,True,5623.939189576814,2,2,0.0001,6.621720835388424,-0.3042995677600615,10.471546834755156
L2RAR2_R24_BOUNDARY_01_896001,R24C1_delayed_contact_loss,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,False,True,True,145873.57682286858,10,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C1_delayed_contact_loss,O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__O_C3_RAW,False,True,True,145873.57682286858,10,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C1_delayed_contact_loss,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__RECOVERY_DISABLED,False,True,True,145873.57682286858,3,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C2_loss_signal_missing,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,True,True,False,145873.57682286858,0,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C2_loss_signal_missing,O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__O_C3_RAW,False,True,False,145873.57682286858,0,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C2_loss_signal_missing,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__RECOVERY_DISABLED,False,True,False,145873.57682286858,0,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C3_partial_slip,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,False,True,True,8090.123524832582,1,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C3_partial_slip,O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__O_C3_RAW,False,True,True,182.74973786342514,1,3,0.004404137627853726,5.957478687288161,-0.9158513384970774,10.131087662337663
L2RAR2_R24_BOUNDARY_01_896001,R24C3_partial_slip,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__RECOVERY_DISABLED,False,True,True,8090.123524832582,1,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C4_multisource_missing_then_loss,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,True,True,False,145873.57682286858,22,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C4_multisource_missing_then_loss,O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__O_C3_RAW,False,True,False,145873.57682286858,22,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C4_multisource_missing_then_loss,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,False,True,False,145873.57682286858,22,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C5_active_release_conflict,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,False,False,False,3959.0122950438213,0,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C5_active_release_conflict,O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__O_C3_RAW,False,False,False,3959.0122950438213,0,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C5_active_release_conflict,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__RECOVERY_DISABLED,False,False,False,3959.0122950438213,0,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C6_relocation_error,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,False,True,True,145873.57682286858,87,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C6_relocation_error,O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001__R24C6_relocation_error__O_C3_RAW,False,True,True,145873.57682286858,87,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C6_relocation_error,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001__R24C6_relocation_error__RECOVERY_DISABLED,False,True,True,145873.57682286858,5,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C7_regrasp_disturbance,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,False,True,True,145873.57682286858,18,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C7_regrasp_disturbance,O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001__R24C7_regrasp_disturbance__O_C3_RAW,False,True,True,145873.57682286858,18,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C7_regrasp_disturbance,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001__R24C7_regrasp_disturbance__RECOVERY_DISABLED,False,True,True,145873.57682286858,5,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
