method,input_tier,eligible_for_selection,total,resolved,correct,overall_temporal_accuracy,unknown_rate,early_actions,false_actions_T1_T2_T3_T4_T12,strong_T7_T11_correct_in_window,T5_T6_outcome_correct,T3_no_action,T4_no_action,T12_no_recovery,latency_p50_s,latency_p90_s,confirmation_status
O_B2_RAW,ONLINE_TRUE_RGB,False,72,72,56,0.7777777777777778,0.0,4,12,26,12,0,0,6,0.030000000000000027,0.06000000000000005,
O_C3_RAW,ONLINE_TRUE_RGB,False,72,72,56,0.7777777777777778,0.0,4,12,26,12,0,0,6,0.030000000000000027,0.06000000000000005,
O_C3_CLP2_LOGICAL_CLOCK,ONLINE_TRUE_RGB,True,72,72,72,1.0,0.0,0,0,30,12,6,6,6,0.07000000000000006,0.1100000000000001,CONFIRMATION_PASS
S_G_H,STATE_ASSISTED_DIAGNOSTIC,False,72,72,71,0.9861111111111112,0.0,0,0,30,11,6,6,6,0.1100000000000001,0.2300000000000002,
