method,latency_p50_s,latency_p90_s
O_B2_RAW,0.030000000000000027,0.06000000000000005
O_C3_RAW,0.030000000000000027,0.06000000000000005
O_C3_CLP2_LOGICAL_CLOCK,0.07000000000000006,0.1100000000000001
S_G_H,0.1100000000000001,0.2300000000000002
