episode_id,task,n,forbidden
P1V5_F00_920000__D1_A_then_B_clean_success,dual,131,
P1V5_F00_920000__D2_B_then_A_clean_success,dual,131,
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,dual,171,
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,dual,171,
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,dual,259,
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,dual,139,
P1V5_F00_920000__R1_clean_transport_success,recovery,67,2
P1V5_F00_920000__R2_loss_at_40pct_recover_success,recovery,117,2
P1V5_F00_920000__R3_loss_at_80pct_recover_success,recovery,117,2
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,recovery,289,2
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,recovery,289,6
P1V5_F00_920000__R6_three_closed_cycles_then_stop,recovery,255,0
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,recovery,57,1
P1V5_F00_920000__R8_commanded_release,recovery,41,2
P1V5_F01_920001__D1_A_then_B_clean_success,dual,131,
P1V5_F01_920001__D2_B_then_A_clean_success,dual,131,
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,dual,171,
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,dual,171,
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,dual,259,
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,dual,139,
P1V5_F01_920001__R1_clean_transport_success,recovery,67,2
P1V5_F01_920001__R2_loss_at_40pct_recover_success,recovery,117,2
P1V5_F01_920001__R3_loss_at_80pct_recover_success,recovery,117,2
P1V5_F01_920001__R4_three_cycles_at_40pct_then_success,recovery,289,2
P1V5_F01_920001__R5_three_cycles_at_80pct_then_success,recovery,289,4
P1V5_F01_920001__R6_three_closed_cycles_then_stop,recovery,255,0
P1V5_F01_920001__R7_loss_recovery_started_not_completed_terminal,recovery,57,1
P1V5_F01_920001__R8_commanded_release,recovery,41,2
P1V5_F02_920002__D1_A_then_B_clean_success,dual,131,
P1V5_F02_920002__D2_B_then_A_clean_success,dual,131,
P1V5_F02_920002__D3_A_done_B_loss_recovery_then_success,dual,171,
P1V5_F02_920002__D4_B_done_A_loss_recovery_then_success,dual,171,
P1V5_F02_920002__D5_completed_subgoal_invalidated_restored,dual,259,
P1V5_F02_920002__D6_repeat_completed_subgoal_then_terminal_failure,dual,139,
P1V5_F02_920002__R1_clean_transport_success,recovery,67,2
P1V5_F02_920002__R2_loss_at_40pct_recover_success,recovery,117,2
P1V5_F02_920002__R3_loss_at_80pct_recover_success,recovery,117,2
P1V5_F02_920002__R4_three_cycles_at_40pct_then_success,recovery,289,2
P1V5_F02_920002__R5_three_cycles_at_80pct_then_success,recovery,289,6
P1V5_F02_920002__R6_three_closed_cycles_then_stop,recovery,255,0
P1V5_F02_920002__R7_loss_recovery_started_not_completed_terminal,recovery,57,0
P1V5_F02_920002__R8_commanded_release,recovery,41,2
P1V5_F03_920003__D1_A_then_B_clean_success,dual,131,
P1V5_F03_920003__D2_B_then_A_clean_success,dual,131,
P1V5_F03_920003__D3_A_done_B_loss_recovery_then_success,dual,171,
P1V5_F03_920003__D4_B_done_A_loss_recovery_then_success,dual,171,
P1V5_F03_920003__D5_completed_subgoal_invalidated_restored,dual,259,
P1V5_F03_920003__D6_repeat_completed_subgoal_then_terminal_failure,dual,139,
P1V5_F03_920003__R1_clean_transport_success,recovery,67,2
P1V5_F03_920003__R2_loss_at_40pct_recover_success,recovery,117,2
P1V5_F03_920003__R3_loss_at_80pct_recover_success,recovery,117,2
P1V5_F03_920003__R4_three_cycles_at_40pct_then_success,recovery,289,2
P1V5_F03_920003__R5_three_cycles_at_80pct_then_success,recovery,289,6
P1V5_F03_920003__R6_three_closed_cycles_then_stop,recovery,255,0
P1V5_F03_920003__R7_loss_recovery_started_not_completed_terminal,recovery,57,1
P1V5_F03_920003__R8_commanded_release,recovery,41,2
P1V5_F04_920004__D1_A_then_B_clean_success,dual,131,
P1V5_F04_920004__D2_B_then_A_clean_success,dual,131,
P1V5_F04_920004__D3_A_done_B_loss_recovery_then_success,dual,171,
P1V5_F04_920004__D4_B_done_A_loss_recovery_then_success,dual,171,
P1V5_F04_920004__D5_completed_subgoal_invalidated_restored,dual,259,
P1V5_F04_920004__D6_repeat_completed_subgoal_then_terminal_failure,dual,139,
P1V5_F04_920004__R1_clean_transport_success,recovery,67,2
P1V5_F04_920004__R2_loss_at_40pct_recover_success,recovery,117,2
P1V5_F04_920004__R3_loss_at_80pct_recover_success,recovery,117,2
P1V5_F04_920004__R4_three_cycles_at_40pct_then_success,recovery,289,2
P1V5_F04_920004__R5_three_cycles_at_80pct_then_success,recovery,289,6
P1V5_F04_920004__R6_three_closed_cycles_then_stop,recovery,255,0
P1V5_F04_920004__R7_loss_recovery_started_not_completed_terminal,recovery,57,1
P1V5_F04_920004__R8_commanded_release,recovery,41,2
