episode_id,n_frames,n_events,objects,runner,losses,restorations
P1V5_F00_920000__D1_A_then_B_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F00_920000__D2_B_then_A_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,260,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,140,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F00_920000__R1_clean_transport_success,68,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F00_920000__R2_loss_at_40pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F00_920000__R3_loss_at_80pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F00_920000__R6_three_closed_cycles_then_stop,256,8,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,58,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,0
P1V5_F00_920000__R8_commanded_release,42,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F01_920001__D1_A_then_B_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F01_920001__D2_B_then_A_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,260,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,140,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F01_920001__R1_clean_transport_success,68,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F01_920001__R2_loss_at_40pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F01_920001__R3_loss_at_80pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F01_920001__R4_three_cycles_at_40pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F01_920001__R5_three_cycles_at_80pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
