boundary_error_sum,boundary_estimability,boundary_f1,boundary_fn,boundary_fp,boundary_mae,boundary_matched_count,boundary_precision,boundary_recall,boundary_tp,episodes,model,split,tolerance
25.0,estimable,0.41835966892400295,3,1543,0.044964028776978415,556,0.26488804192472604,0.9946332737030411,556,108,weak_zero_gold,val,1
25.0,estimable,0.41835966892400295,3,1543,0.044964028776978415,556,0.26488804192472604,0.9946332737030411,556,108,weak_zero_gold,val,2
9.0,estimable,0.3743238369996394,12,1723,0.017341040462427744,519,0.23148974130240857,0.9774011299435028,519,108,weak_zero_gold,test,1
25.0,estimable,0.3779300396682293,7,1718,0.04770992366412214,524,0.23371989295272078,0.9868173258003766,524,108,weak_zero_gold,test,2
25.0,estimable,0.41835966892400295,3,1543,0.044964028776978415,556,0.26488804192472604,0.9946332737030411,556,108,weak_plus_small_gold_calibration,val,1
25.0,estimable,0.41835966892400295,3,1543,0.044964028776978415,556,0.26488804192472604,0.9946332737030411,556,108,weak_plus_small_gold_calibration,val,2
9.0,estimable,0.3743238369996394,12,1723,0.017341040462427744,519,0.23148974130240857,0.9774011299435028,519,108,weak_plus_small_gold_calibration,test,1
25.0,estimable,0.3779300396682293,7,1718,0.04770992366412214,524,0.23371989295272078,0.9868173258003766,524,108,weak_plus_small_gold_calibration,test,2
90.0,estimable,0.48846459824980115,252,391,0.2931596091205212,307,0.43982808022922637,0.5491949910554562,307,108,sensor_hysteresis_01,val,1
192.0,estimable,0.569610182975338,201,340,0.5363128491620112,358,0.5128939828080229,0.6404293381037567,358,108,sensor_hysteresis_01,val,2
96.0,estimable,0.45347928068803756,241,458,0.3310344827586207,290,0.3877005347593583,0.5461393596986818,290,108,sensor_hysteresis_01,test,1
213.0,estimable,0.544175136825645,183,400,0.6120689655172413,348,0.46524064171123,0.655367231638418,348,108,sensor_hysteresis_01,test,2
121.0,estimable,0.4863349684653118,212,521,0.34870317002881845,347,0.39976958525345624,0.6207513416815742,347,108,uniform_00,val,1
203.0,estimable,0.5437981779957953,171,480,0.5231958762886598,388,0.4470046082949309,0.6940966010733453,388,108,uniform_00,val,2
109.0,estimable,0.4571843251088534,216,532,0.346031746031746,315,0.371900826446281,0.5932203389830508,315,108,uniform_00,test,1
230.0,estimable,0.5442670537010159,156,472,0.6133333333333333,375,0.4427390791027155,0.7062146892655368,375,108,uniform_00,test,2
14.0,estimable,0.4613466334164588,4,1292,0.025225225225225224,555,0.3004872766648619,0.9928443649373881,555,108,boundary_model:causal_weak_only_s621,val,1
14.0,estimable,0.4613466334164588,4,1292,0.025225225225225224,555,0.3004872766648619,0.9928443649373881,555,108,boundary_model:causal_weak_only_s621,val,2
2.0,estimable,0.40452948067161265,13,1512,0.003861003861003861,518,0.25517241379310346,0.975517890772128,518,108,boundary_model:causal_weak_only_s621,test,1
24.0,estimable,0.4107770402186646,5,1504,0.045627376425855515,526,0.25911330049261083,0.9905838041431262,526,108,boundary_model:causal_weak_only_s621,test,2
14.0,estimable,0.4727427597955707,4,1234,0.025225225225225224,555,0.3102291783119061,0.9928443649373881,555,108,boundary_model:causal_weak_only_s622,val,1
14.0,estimable,0.4727427597955707,4,1234,0.025225225225225224,555,0.3102291783119061,0.9928443649373881,555,108,boundary_model:causal_weak_only_s622,val,2
2.0,estimable,0.4265129682997118,13,1380,0.003861003861003861,518,0.27291886195995785,0.975517890772128,518,108,boundary_model:causal_weak_only_s622,test,1
