episodes,error_sum,estimability,event,event_id,f1,fn,fp,mae,matched_count,model,precision,recall,split,tolerance,tp
108,0.0,estimable,recovery_start,4,1.0,0,0,0.0,27,weak_plus_small_gold_calibration,1.0,1.0,test,2,27
108,0.0,estimable,contact_reestablished,5,1.0,0,0,0.0,24,weak_plus_small_gold_calibration,1.0,1.0,test,2,24
108,4.0,estimable,detour_start,6,0.011494252873563218,22,322,2.0,2,weak_plus_small_gold_calibration,0.006172839506172839,0.08333333333333333,test,2,2
108,0.0,estimable,goal_enter,7,1.0,0,0,0.0,87,weak_plus_small_gold_calibration,1.0,1.0,test,2,87
108,0.0,estimable,stable_success,8,,87,0,,0,weak_plus_small_gold_calibration,,0.0,test,2,0
108,0.0,estimable,terminal_failure,9,0.5454545454545455,3,27,0.0,18,weak_plus_small_gold_calibration,0.4,0.8571428571428571,test,2,18
108,1.0,estimable,stagnation_onset,10,0.1935483870967742,15,10,0.3333333333333333,3,weak_plus_small_gold_calibration,0.23076923076923078,0.16666666666666666,test,2,3
108,0.0,estimable,contact_on,1,0.11023622047244094,101,12,0.0,7,sensor_hysteresis_01,0.3684210526315789,0.06481481481481481,val,1,7
108,0.0,estimable,transport_on,2,0.024999999999999998,101,445,0.0,7,sensor_hysteresis_01,0.015486725663716814,0.06481481481481481,val,1,7
108,0.0,estimable,contact_off_failure,3,0.07692307692307693,24,0,0.0,1,sensor_hysteresis_01,1.0,0.04,val,1,1
108,0.0,estimable,recovery_start,4,0.6486486486486487,13,0,0.0,12,sensor_hysteresis_01,1.0,0.48,val,1,12
108,0.0,estimable,contact_reestablished,5,,23,0,,0,sensor_hysteresis_01,,0.0,val,1,0
108,1.0,estimable,detour_start,6,0.00947867298578199,58,151,1.0,1,sensor_hysteresis_01,0.006578947368421052,0.01694915254237288,val,1,1
108,0.0,estimable,goal_enter,7,0.5691056910569106,53,0,0.0,35,sensor_hysteresis_01,1.0,0.3977272727272727,val,1,35
108,0.0,estimable,stable_success,8,,88,0,,0,sensor_hysteresis_01,,0.0,val,1,0
108,0.0,estimable,terminal_failure,9,0.22727272727272727,15,19,0.0,5,sensor_hysteresis_01,0.20833333333333334,0.25,val,1,5
