boundary_error_sum,boundary_estimability,boundary_f1,boundary_fn,boundary_fp,boundary_mae,boundary_matched_count,boundary_precision,boundary_recall,boundary_tp,episodes,model,root_family_id,split,tolerance
0.0,estimable,0.4,0,90,0.0,30,0.25,1.0,30,6,weak_zero_gold,u2_family_084,val,1
0.0,estimable,0.4,0,90,0.0,30,0.25,1.0,30,6,weak_zero_gold,u2_family_084,val,2
1.0,estimable,0.43636363636363634,0,93,0.027777777777777776,36,0.27906976744186046,1.0,36,6,weak_zero_gold,u2_family_085,val,1
1.0,estimable,0.43636363636363634,0,93,0.027777777777777776,36,0.27906976744186046,1.0,36,6,weak_zero_gold,u2_family_085,val,2
1.0,estimable,0.5274725274725275,0,86,0.020833333333333332,48,0.3582089552238806,1.0,48,6,weak_zero_gold,u2_family_086,val,1
1.0,estimable,0.5274725274725275,0,86,0.020833333333333332,48,0.3582089552238806,1.0,48,6,weak_zero_gold,u2_family_086,val,2
0.0,estimable,0.4347826086956522,0,78,0.0,30,0.2777777777777778,1.0,30,6,weak_zero_gold,u2_family_087,val,1
0.0,estimable,0.4347826086956522,0,78,0.0,30,0.2777777777777778,1.0,30,6,weak_zero_gold,u2_family_087,val,2
0.0,estimable,0.6545454545454547,0,19,0.0,18,0.4864864864864865,1.0,18,6,weak_zero_gold,u2_family_088,val,1
0.0,estimable,0.6545454545454547,0,19,0.0,18,0.4864864864864865,1.0,18,6,weak_zero_gold,u2_family_088,val,2
7.0,estimable,0.45000000000000007,0,88,0.19444444444444445,36,0.2903225806451613,1.0,36,6,weak_zero_gold,u2_family_089,val,1
7.0,estimable,0.45000000000000007,0,88,0.19444444444444445,36,0.2903225806451613,1.0,36,6,weak_zero_gold,u2_family_089,val,2
1.0,estimable,0.29629629629629634,0,114,0.041666666666666664,24,0.17391304347826086,1.0,24,6,weak_zero_gold,u2_family_090,val,1
1.0,estimable,0.29629629629629634,0,114,0.041666666666666664,24,0.17391304347826086,1.0,24,6,weak_zero_gold,u2_family_090,val,2
0.0,estimable,0.3409090909090909,0,116,0.0,30,0.2054794520547945,1.0,30,6,weak_zero_gold,u2_family_091,val,1
0.0,estimable,0.3409090909090909,0,116,0.0,30,0.2054794520547945,1.0,30,6,weak_zero_gold,u2_family_091,val,2
1.0,estimable,0.43750000000000006,0,108,0.023809523809523808,42,0.28,1.0,42,6,weak_zero_gold,u2_family_092,val,1
1.0,estimable,0.43750000000000006,0,108,0.023809523809523808,42,0.28,1.0,42,6,weak_zero_gold,u2_family_092,val,2
2.0,estimable,0.3018867924528302,0,111,0.08333333333333333,24,0.17777777777777778,1.0,24,6,weak_zero_gold,u2_family_093,val,1
2.0,estimable,0.3018867924528302,0,111,0.08333333333333333,24,0.17777777777777778,1.0,24,6,weak_zero_gold,u2_family_093,val,2
