pair_id,motif,same_mask,left_sha,right_sha
1310001_slot14,PRECEDENCE,True,ed35bf38014674676adc387d2fcc107ac2f76435d03c76e58e0aa5213b6e32b1,ed35bf38014674676adc387d2fcc107ac2f76435d03c76e58e0aa5213b6e32b1
1310001_slot15,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310002_slot00,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310002_slot01,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310002_slot02,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310002_slot03,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310002_slot04,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310002_slot05,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310002_slot06,PRECEDENCE,True,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0
1310002_slot07,PRECEDENCE,True,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0
