Method,Node macro-F1,Edge-type macro-F1,Failure negative rate,Recovery positive rate,Success–failure margin,Legal-path gap
pathgraph_reward_v1_locked,0.735,0.620,1.000,0.750,0.265,0.000
pathgraph_full_no_lcb,0.735,0.620,1.000,0.750,0.265,0.000
pathgraph_cost_plus_phi,0.735,0.620,1.000,1.000,0.321,0.000
pathgraph_cost_only,0.735,0.620,0.786,1.000,0.000,0.000
linear_time_fraction,0.735,0.620,0.000,0.000,-0.000,0.000
oracle_linear_chain_A_first,0.735,0.620,0.000,0.000,0.324,0.000
oracle_linear_chain_B_first,0.735,0.620,0.000,0.000,0.324,0.000
sequential_transition_oracle,0.735,0.620,0.000,0.000,0.324,0.000
learned_linear_sarm,0.735,0.620,0.000,0.000,0.324,0.000
