episode_id,family_id,case_id,rollout_seed,controller_id,backend_id,compensation_mode,notes,return_invocations,dest,primary_pass,n_complete,need,case_pass,hard_ok,H1,H2,H3,H4,H9,return_time,pose_writes
P1V6RC1_970100_E1_LOSS_RETURN_P40_97110000_RC1_OBJECT_COMPENSATED_DIRECT,970100,E1_LOSS_RETURN_P40,97110000,RC1_OBJECT_COMPENSATED_DIRECT,MUJOCO_CONSTRAINT_ASSISTED_TABLETOP_V6,TRANSLATION_COMPENSATED_FIXED_ORIENTATION,"[""loop0_RETURN_TIMEOUT"", ""cycles_complete=0""]",1,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC1_OBJECT_COMPENSATED_DIRECT/F970100/E1_LOSS_RETURN_P40/rollout_00,False,0,1,False,True,True,True,True,True,True,1.8000000000000012,0
P1V6RC1_970100_E2_LOSS_RETURN_P80_97110001_RC1_OBJECT_COMPENSATED_DIRECT,970100,E2_LOSS_RETURN_P80,97110001,RC1_OBJECT_COMPENSATED_DIRECT,MUJOCO_CONSTRAINT_ASSISTED_TABLETOP_V6,TRANSLATION_COMPENSATED_FIXED_ORIENTATION,"[""loop0_RETURN_TIMEOUT"", ""cycles_complete=0""]",1,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC1_OBJECT_COMPENSATED_DIRECT/F970100/E2_LOSS_RETURN_P80/rollout_00,False,0,1,False,True,True,True,True,True,True,1.8000000000000012,0
P1V6RC1_970100_E3_THREE_RETURNS_P40_97110002_RC1_OBJECT_COMPENSATED_DIRECT,970100,E3_THREE_RETURNS_P40,97110002,RC1_OBJECT_COMPENSATED_DIRECT,MUJOCO_CONSTRAINT_ASSISTED_TABLETOP_V6,TRANSLATION_COMPENSATED_FIXED_ORIENTATION,"[""loop0_RETURN_TIMEOUT"", ""cycles_complete=0""]",1,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC1_OBJECT_COMPENSATED_DIRECT/F970100/E3_THREE_RETURNS_P40/rollout_00,False,0,3,False,True,True,True,True,True,True,1.8000000000000012,0
P1V6RC1_970100_E4_THREE_RETURNS_P80_97110003_RC1_OBJECT_COMPENSATED_DIRECT,970100,E4_THREE_RETURNS_P80,97110003,RC1_OBJECT_COMPENSATED_DIRECT,MUJOCO_CONSTRAINT_ASSISTED_TABLETOP_V6,TRANSLATION_COMPENSATED_FIXED_ORIENTATION,"[""loop0_RETURN_TIMEOUT"", ""cycles_complete=0""]",1,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC1_OBJECT_COMPENSATED_DIRECT/F970100/E4_THREE_RETURNS_P80/rollout_00,False,0,3,False,True,True,True,True,True,True,1.8000000000000012,0
P1V6RC1_970100_E5_REGRASP_OFFSET_LEFT_P40_97110004_RC1_OBJECT_COMPENSATED_DIRECT,970100,E5_REGRASP_OFFSET_LEFT_P40,97110004,RC1_OBJECT_COMPENSATED_DIRECT,MUJOCO_CONSTRAINT_ASSISTED_TABLETOP_V6,TRANSLATION_COMPENSATED_FIXED_ORIENTATION,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",0,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC1_OBJECT_COMPENSATED_DIRECT/F970100/E5_REGRASP_OFFSET_LEFT_P40/rollout_00,False,0,1,False,True,True,True,True,True,True,,0
P1V6RC1_970100_E6_REGRASP_OFFSET_RIGHT_P40_97110005_RC1_OBJECT_COMPENSATED_DIRECT,970100,E6_REGRASP_OFFSET_RIGHT_P40,97110005,RC1_OBJECT_COMPENSATED_DIRECT,MUJOCO_CONSTRAINT_ASSISTED_TABLETOP_V6,TRANSLATION_COMPENSATED_FIXED_ORIENTATION,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",0,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC1_OBJECT_COMPENSATED_DIRECT/F970100/E6_REGRASP_OFFSET_RIGHT_P40/rollout_00,False,0,1,False,True,True,True,True,True,True,,0
P1V6RC1_970100_E7_NO_LOSS_OUT_AND_BACK_97110006_RC1_OBJECT_COMPENSATED_DIRECT,970100,E7_NO_LOSS_OUT_AND_BACK,97110006,RC1_OBJECT_COMPENSATED_DIRECT,MUJOCO_CONSTRAINT_ASSISTED_TABLETOP_V6,TRANSLATION_COMPENSATED_FIXED_ORIENTATION,[],1,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC1_OBJECT_COMPENSATED_DIRECT/F970100/E7_NO_LOSS_OUT_AND_BACK/rollout_00,False,0,1,False,True,True,True,True,True,True,0.02,0
P1V6RC1_970101_E1_LOSS_RETURN_P40_97110100_RC1_OBJECT_COMPENSATED_DIRECT,970101,E1_LOSS_RETURN_P40,97110100,RC1_OBJECT_COMPENSATED_DIRECT,MUJOCO_CONSTRAINT_ASSISTED_TABLETOP_V6,TRANSLATION_COMPENSATED_FIXED_ORIENTATION,"[""loop0_RETURN_TIMEOUT"", ""cycles_complete=0""]",1,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC1_OBJECT_COMPENSATED_DIRECT/F970101/E1_LOSS_RETURN_P40/rollout_00,False,0,1,False,True,True,True,True,True,True,1.8000000000000012,0
P1V6RC1_970101_E2_LOSS_RETURN_P80_97110101_RC1_OBJECT_COMPENSATED_DIRECT,970101,E2_LOSS_RETURN_P80,97110101,RC1_OBJECT_COMPENSATED_DIRECT,MUJOCO_CONSTRAINT_ASSISTED_TABLETOP_V6,TRANSLATION_COMPENSATED_FIXED_ORIENTATION,"[""loop0_RETURN_TIMEOUT"", ""cycles_complete=0""]",1,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC1_OBJECT_COMPENSATED_DIRECT/F970101/E2_LOSS_RETURN_P80/rollout_00,False,0,1,False,True,True,True,True,True,True,1.8000000000000012,0
P1V6RC1_970101_E3_THREE_RETURNS_P40_97110102_RC1_OBJECT_COMPENSATED_DIRECT,970101,E3_THREE_RETURNS_P40,97110102,RC1_OBJECT_COMPENSATED_DIRECT,MUJOCO_CONSTRAINT_ASSISTED_TABLETOP_V6,TRANSLATION_COMPENSATED_FIXED_ORIENTATION,"[""loop0_RETURN_TIMEOUT"", ""cycles_complete=0""]",1,/home/__compress_data/xushijie/graph_pathgraph_p1_v6rc1_data/development/RC1_OBJECT_COMPENSATED_DIRECT/F970101/E3_THREE_RETURNS_P40/rollout_00,False,0,3,False,True,True,True,True,True,True,1.8000000000000012,0
