arm_id,fusion_enabled,supervisor_v2_enabled,rollouts,signal_exposure,signal_exposure_denominator,actual_recovery_success,final_task_success,false_executed_actions,outer_recovery_cycles,inner_recovery_loops,task_duration_median_s,failure_stages
F0_S0_CLP3_BASELINE,False,False,28,12,20,8,8,0,12,16,6.599999999999904,"{""RELOCATION_ERROR"": 4, ""SIGNAL_NOT_OBSERVED"": 8, ""TASK_RECOVERY_ERROR"": 8}"
F1_S0_FUSION_ONLY,True,False,28,18,20,14,12,0,18,22,8.374999999999865,"{""RELOCATION_ERROR"": 4, ""SIGNAL_NOT_OBSERVED"": 2, ""TASK_RECOVERY_ERROR"": 10}"
F0_S1_SUPERVISOR_ONLY,False,True,28,12,20,12,20,0,25,29,7.799999999999878,"{""SIGNAL_NOT_OBSERVED"": 8}"
F1_S1_FUSION_SUPERVISOR,True,True,28,18,20,18,26,0,36,40,10.99999999999981,"{""SIGNAL_NOT_OBSERVED"": 2}"
