boundary_f1_tol1,boundary_f1_tol2,boundary_mae,boundary_precision_tol1,boundary_precision_tol2,boundary_recall_tol1,boundary_recall_tol2,causal,contact_reestablished_recall,episodes,evaluation_split,event_macro_f1,events_per_episode,job_id,method,recovery_start_recall,seed,split,test_used_for_selection,unknown_rate,variant
0.45885286783042395,0.45885286783042395,1.6213768115942029,0.29886302111532215,0.29886302111532215,0.9874776386404294,0.9874776386404294,True,0.8695652173913043,108,val,0.530733311589476,17.10185185185185,causal_weak_only_s621,causal_weak_only,1.0,621,val,False,0.64968623108158,causal_weak_only
0.40374853572823116,0.40452948067161265,1.6447876447876448,0.254679802955665,0.25517241379310346,0.9736346516007532,0.975517890772128,True,0.4583333333333333,108,test,0.5072315962776006,18.796296296296298,causal_weak_only_s621,causal_weak_only,1.0,621,test,False,0.7286470143613001,causal_weak_only
0.47018739352640543,0.47018739352640543,1.5018115942028984,0.3085522638345444,0.3085522638345444,0.9874776386404294,0.9874776386404294,True,0.782608695652174,108,val,0.526785175608705,16.564814814814813,causal_weak_only_s622,causal_weak_only,1.0,622,val,False,0.6419342930970838,causal_weak_only
0.42568958419102515,0.4265129682997118,1.416988416988417,0.27239199157007377,0.27291886195995785,0.9736346516007532,0.975517890772128,True,0.5416666666666666,108,test,0.517353996774077,17.574074074074073,causal_weak_only_s622,causal_weak_only,1.0,622,test,False,0.7278911564625851,causal_weak_only
0.4850615114235501,0.4850615114235501,1.5507246376811594,0.3214909726266744,0.3214909726266744,0.9874776386404294,0.9874776386404294,True,0.8695652173913043,108,val,0.5308726844117756,15.898148148148149,causal_weak_only_s623,causal_weak_only,1.0,623,val,False,0.6474713916574382,causal_weak_only
0.42049613664091096,0.42130947539650265,1.5212355212355213,0.26815352697095435,0.26867219917012447,0.9736346516007532,0.975517890772128,True,0.5416666666666666,108,test,0.5130953614926147,17.85185185185185,causal_weak_only_s623,causal_weak_only,1.0,623,test,False,0.7309145880574452,causal_weak_only
0.46153846153846156,0.46153846153846156,1.4523809523809523,0.302158273381295,0.302158273381295,0.9767441860465116,0.9767441860465116,True,1.0,108,val,0.5425,16.73148148148148,causal_weak_plus_oracle30_s621,causal_weak_plus_oracle30,1.0,621,val,False,0.6519010705057217,causal_weak_plus_oracle30
0.40871287128712874,0.4095049504950495,1.4777562862669245,0.2587763289869609,0.2592778335005015,0.9717514124293786,0.9736346516007532,True,0.9583333333333334,108,test,0.553609134447141,18.462962962962962,causal_weak_plus_oracle30_s621,causal_weak_plus_oracle30,1.0,621,test,False,0.7294028722600151,causal_weak_plus_oracle30
0.4625158831003812,0.4625158831003812,1.6135531135531136,0.3029966703662597,0.3029966703662597,0.9767441860465116,0.9767441860465116,True,0.08695652173913043,108,val,0.44586354001059886,16.685185185185187,causal_weak_plus_oracle30_s622,causal_weak_plus_oracle30,1.0,622,val,False,0.6002214839424141,causal_weak_plus_oracle30
0.41313050440352284,0.4139311449159327,1.618955512572534,0.26232841891204883,0.26283680732079306,0.9717514124293786,0.9736346516007532,True,0.16666666666666666,108,test,0.4711161437769035,18.212962962962962,causal_weak_plus_oracle30_s622,causal_weak_plus_oracle30,1.0,622,test,False,0.6893424036281179,causal_weak_plus_oracle30
0.5062126092959044,0.5062126092959044,1.469090909090909,0.34076827757125155,0.34076827757125155,0.9838998211091234,0.9838998211091234,True,0.9130434782608695,108,val,0.5339170673871952,14.944444444444445,causal_weak_plus_oracle30_s623,causal_weak_plus_oracle30,1.0,623,val,False,0.646733111849391,causal_weak_plus_oracle30
0.43887945670628187,0.43972835314091674,1.416988416988417,0.28328767123287674,0.28383561643835614,0.9736346516007532,0.975517890772128,True,0.625,108,test,0.5203697478991597,16.89814814814815,causal_weak_plus_oracle30_s623,causal_weak_plus_oracle30,1.0,623,test,False,0.7309145880574452,causal_weak_plus_oracle30
0.5239923224568138,0.5239923224568138,1.1556776556776556,0.3580327868852459,0.3580327868852459,0.9767441860465116,0.9767441860465116,True,0.9130434782608695,108,val,0.5315013744647518,14.12037037037037,offline_teacher_to_causal_s621,offline_teacher_to_causal,1.0,621,val,False,0.5921004060538945,offline_teacher_to_causal
0.43525938422606497,0.43610291016448754,1.413926499032882,0.28043478260869564,0.28097826086956523,0.9717514124293786,0.9736346516007532,True,0.6666666666666666,108,test,0.5277023796996436,17.037037037037038,offline_teacher_to_causal_s621,offline_teacher_to_causal,1.0,621,test,False,0.6704459561602418,offline_teacher_to_causal
0.46245226983453547,0.4633008061094612,1.5952380952380953,0.3031145717463849,0.303670745272525,0.9749552772808586,0.9767441860465116,True,1.0,108,val,0.5424325509980259,16.64814814814815,offline_teacher_to_causal_s622,offline_teacher_to_causal,1.0,622,val,False,0.6474713916574382,offline_teacher_to_causal
0.4066193853427896,0.4074074074074075,1.5938104448742747,0.2571001494768311,0.25759840558046837,0.9717514124293786,0.9736346516007532,True,0.6666666666666666,108,test,0.5285847326408202,18.583333333333332,offline_teacher_to_causal_s622,offline_teacher_to_causal,1.0,622,test,False,0.7203325774754347,offline_teacher_to_causal
0.6309111880046135,0.6309111880046135,0.9817184643510055,0.465531914893617,0.465531914893617,0.9785330948121646,0.9785330948121646,True,1.0,108,val,0.5419079226098009,10.87962962962963,offline_teacher_to_causal_s623,offline_teacher_to_causal,1.0,623,val,False,0.6389811738648948,offline_teacher_to_causal
0.5866969869243889,0.5878339965889711,0.9690522243713733,0.4201954397394137,0.4210097719869707,0.9717514124293786,0.9736346516007532,True,0.875,108,test,0.548736974593139,11.37037037037037,offline_teacher_to_causal_s623,offline_teacher_to_causal,1.0,623,test,False,0.7278911564625851,offline_teacher_to_causal
