detail	gpu	inference_id	job_id	return_code	split	status
	1	causal_weak_only_s621_val	causal_weak_only_s621	0	val	PASS
	4	causal_weak_only_s621_test	causal_weak_only_s621	0	test	PASS
	6	causal_weak_only_s622_val	causal_weak_only_s622	0	val	PASS
	6	causal_weak_only_s622_test	causal_weak_only_s622	0	test	PASS
	6	causal_weak_only_s623_val	causal_weak_only_s623	0	val	PASS
	6	causal_weak_only_s623_test	causal_weak_only_s623	0	test	PASS
	6	causal_weak_plus_oracle30_s621_val	causal_weak_plus_oracle30_s621	0	val	PASS
	6	causal_weak_plus_oracle30_s621_test	causal_weak_plus_oracle30_s621	0	test	PASS
	6	causal_weak_plus_oracle30_s622_val	causal_weak_plus_oracle30_s622	0	val	PASS
	6	causal_weak_plus_oracle30_s622_test	causal_weak_plus_oracle30_s622	0	test	PASS
	6	causal_weak_plus_oracle30_s623_val	causal_weak_plus_oracle30_s623	0	val	PASS
	6	causal_weak_plus_oracle30_s623_test	causal_weak_plus_oracle30_s623	0	test	PASS
	6	offline_teacher_to_causal_s621_val	offline_teacher_to_causal_s621	0	val	PASS
	6	offline_teacher_to_causal_s621_test	offline_teacher_to_causal_s621	0	test	PASS
	6	offline_teacher_to_causal_s622_val	offline_teacher_to_causal_s622	0	val	PASS
	6	offline_teacher_to_causal_s622_test	offline_teacher_to_causal_s622	0	test	PASS
	6	offline_teacher_to_causal_s623_val	offline_teacher_to_causal_s623	0	val	PASS
	6	offline_teacher_to_causal_s623_test	offline_teacher_to_causal_s623	0	test	PASS
