method,split,event_id,event,precision,recall,f1,mae,tp,fp,fn
causal_weak_only,val,1,contact_on,0.972972972972973,1.0,0.9863013698630138,0.0,108,3,0
causal_weak_only,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
causal_weak_only,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
causal_weak_only,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
causal_weak_only,val,5,contact_reestablished,0.9090909090909091,0.8695652173913043,0.888888888888889,0.0,20,2,3
causal_weak_only,val,6,detour_start,0.039735099337748346,0.1016949152542373,0.05714285714285715,1.5,6,145,53
causal_weak_only,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
causal_weak_only,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
causal_weak_only,val,9,terminal_failure,0.23684210526315788,0.9,0.375,0.0,18,58,2
causal_weak_only,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
causal_weak_only,test,1,contact_on,0.8925619834710744,1.0,0.9432314410480349,0.0,108,13,0
causal_weak_only,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
causal_weak_only,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
causal_weak_only,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
causal_weak_only,test,5,contact_reestablished,0.7857142857142857,0.4583333333333333,0.5789473684210527,0.0,11,3,13
causal_weak_only,test,6,detour_start,0.011834319526627219,0.08333333333333333,0.020725388601036267,1.0,2,167,22
causal_weak_only,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
causal_weak_only,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
causal_weak_only,test,9,terminal_failure,0.3829787234042553,0.8571428571428571,0.5294117647058824,0.0,18,29,3
causal_weak_only,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
causal_weak_only,val,1,contact_on,0.9557522123893806,1.0,0.9773755656108597,0.0,108,5,0
causal_weak_only,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
causal_weak_only,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
causal_weak_only,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
causal_weak_only,val,5,contact_reestablished,0.9473684210526315,0.782608695652174,0.8571428571428571,0.0,18,1,5
causal_weak_only,val,6,detour_start,0.03867403314917127,0.11864406779661017,0.058333333333333334,1.5714285714285714,7,174,52
causal_weak_only,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
causal_weak_only,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
causal_weak_only,val,9,terminal_failure,0.23684210526315788,0.9,0.375,0.0,18,58,2
causal_weak_only,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
causal_weak_only,test,1,contact_on,0.907563025210084,1.0,0.9515418502202644,0.0,108,11,0
causal_weak_only,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
causal_weak_only,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
causal_weak_only,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
causal_weak_only,test,5,contact_reestablished,0.8666666666666667,0.5416666666666666,0.6666666666666667,0.0,13,2,11
causal_weak_only,test,6,detour_start,0.010101010101010102,0.08333333333333333,0.01801801801801802,1.0,2,196,22
causal_weak_only,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
causal_weak_only,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
causal_weak_only,test,9,terminal_failure,0.391304347826087,0.8571428571428571,0.5373134328358209,0.0,18,28,3
causal_weak_only,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
causal_weak_only,val,1,contact_on,0.972972972972973,1.0,0.9863013698630138,0.0,108,3,0
causal_weak_only,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
causal_weak_only,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
causal_weak_only,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
causal_weak_only,val,5,contact_reestablished,0.9090909090909091,0.8695652173913043,0.888888888888889,0.0,20,2,3
causal_weak_only,val,6,detour_start,0.0410958904109589,0.1016949152542373,0.05853658536585366,1.6666666666666667,6,140,53
causal_weak_only,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
causal_weak_only,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
causal_weak_only,val,9,terminal_failure,0.23684210526315788,0.9,0.375,0.0,18,58,2
causal_weak_only,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
causal_weak_only,test,1,contact_on,0.907563025210084,1.0,0.9515418502202644,0.0,108,11,0
causal_weak_only,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
causal_weak_only,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
causal_weak_only,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
causal_weak_only,test,5,contact_reestablished,0.8125,0.5416666666666666,0.65,0.0,13,3,11
causal_weak_only,test,6,detour_start,0.0,0.0,0.0,nan,0,165,24
causal_weak_only,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
causal_weak_only,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
causal_weak_only,test,9,terminal_failure,0.3829787234042553,0.8571428571428571,0.5294117647058824,0.0,18,29,3
causal_weak_only,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
causal_weak_plus_oracle30,val,1,contact_on,1.0,1.0,1.0,0.0,108,0,0
causal_weak_plus_oracle30,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
