estimand_id,point_estimate,ci95_low,ci95_high,raw_p_or_tail_probability,adjusted_p,effect_direction,support_status,content_groups,statistics_unit,support_note
path_consistency,0.0,0.0,0.0,NA_limited_support,NA_limited_support,lower_is_better,supported,1,content_group_id,limited_controlled_support
failure_sign,1.0,1.0,1.0,0.00019998000199980003,0.0011998800119988001,higher_is_better,supported,7,content_group_id,group_bootstrap
recovery_sign,0.75,0.75,0.75,0.00019998000199980003,0.0011998800119988001,higher_is_better,supported,4,content_group_id,group_bootstrap
loop_safety,1.0,1.0,1.0,NA_limited_support,NA_limited_support,higher_is_better,supported,1,content_group_id,limited_controlled_support
success_separation,0.2652299461265408,0.1512855296954511,0.3796341159794894,0.00019998000199980003,0.0011998800119988001,higher_is_better,supported,13,content_group_id,group_bootstrap
alternative_A_collapse,1.5,0.0,3.0,NA_limited_support,NA_limited_support,higher_is_better,not_supported_or_inconclusive,2,content_group_id,limited_controlled_support
alternative_B_collapse,1.5,0.0,3.0,NA_limited_support,NA_limited_support,higher_is_better,not_supported_or_inconclusive,2,content_group_id,limited_controlled_support
remove_recovery,0.1604166666666666,0.1125,0.21875,0.00019998000199980003,0.0011998800119988001,higher_is_better,supported,8,content_group_id,group_bootstrap
remove_debt_cap,-0.625,-0.625,-0.625,0.00019998000199980003,0.0011998800119988001,lower_is_better,supported,8,content_group_id,group_bootstrap
remove_phi,0.0,0.0,0.0,1.0,1.0,higher_is_better,not_supported_or_inconclusive,13,content_group_id,group_bootstrap
