episode_id,method,evidence_tier,root_group_id,cost_contract_id,transitions,signed_return,positive_weight_sum,debt_after,mirror_max_error,clip_count,recovery_cap_count,closed_in_supplied_z_cost_phi,positive_closed_return,closure_label,symbolic_task_position_closed,physical_feasibility,phi_entry_policy_verified_in_runtime
normalized_main__reset__p0.4__k8,FULL_FROZEN,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,40,1.6000000000000003,5.600000000000003,1.3333333333333326,0.0,0,0,True,True,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.4__k8,NO_RECOVERY_CREDIT,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,40,-1.0666666666666664,2.9333333333333336,4.0,0.0,0,0,True,False,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k1,SPARSE_TERMINAL,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,5,0.0,0.0,0.0,0.0,0,0,True,False,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k1,LINEAR_FIXED_ORDER,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,5,0.0,0.5,0.0,0.0,0,0,True,False,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k1,UNORDERED_COMPLETION_PROGRESS,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,5,0.0,0.5,0.0,0.0,0,0,True,False,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k1,GRAPH_COST_ONLY,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,5,5.551115123125783e-17,0.5,0.0,0.0,0,0,True,False,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k1,GRAPH_COST_PHI,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,5,0.4000000000000001,0.9000000000000001,0.0,0.0,0,0,True,True,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k1,GRAPH_COST_DEBT,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,5,5.551115123125783e-17,0.5,0.16666666666666663,0.0,0,0,True,False,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k1,FULL_FROZEN,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,5,0.4000000000000001,0.9000000000000001,0.16666666666666663,0.0,0,0,True,True,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k1,NO_RECOVERY_CREDIT,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,5,0.06666666666666671,0.5666666666666667,0.5,0.0,0,0,True,True,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
