job_id	step	requested_step	actual_num_timesteps	zip_sha256	policy_state_dict_sha256	external_path
SMOKE_FLAT	0	0	0	c953b9352e7194497576287a88cce9bac28e5d36392e258c13511670477998dd	32efbcdfe85e45ac87e4f99bf80a06c18389f4bd22049b4bf811c0bc8dc0bd57	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/smoke/SMOKE_FLAT/checkpoints/policy_0.zip
SMOKE_FLAT	512	512	512	607f0fe26a2f1b121eb1364e4e5ad0aad4abbc1a7d5c3601e27a62bc71412953	4fd221a2261a6fc45c16ded1cb7774b4fadceea9ca1143a5f5dba154e4435671	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/smoke/SMOKE_FLAT/checkpoints/policy_512.zip
SMOKE_GEOM	0	0	0	e03df09cd039dd3ca2ca496f69329356354d4835c7244b4b8b96ae4552ea775b	32efbcdfe85e45ac87e4f99bf80a06c18389f4bd22049b4bf811c0bc8dc0bd57	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/smoke/SMOKE_GEOM/checkpoints/policy_0.zip
SMOKE_GEOM	512	512	512	85a5cfb5bef02fda3aac0ac51a94ae242dba8bb1e5ee01cf1e4f5dba2ebe5a74	e296d603d837cb4f3291de302a7a8303da006bbcb09f5bd34a865f2237a4cbde	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/smoke/SMOKE_GEOM/checkpoints/policy_512.zip
SMOKE_GRAPH1	0	0	0	aaba593d83923082d5ad4915847f34501cd3ffc8f52f4c7d399a6616c8b37d95	32efbcdfe85e45ac87e4f99bf80a06c18389f4bd22049b4bf811c0bc8dc0bd57	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/smoke/SMOKE_GRAPH1/checkpoints/policy_0.zip
SMOKE_GRAPH1	512	512	512	e002446742861b10aeaa4c01acd85e932f68c4e0ab55effe65b3258a4a74299b	66f596eaa6baa4b328b5817124b53b582da3eb6417533560e6626a2a7f378a75	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/smoke/SMOKE_GRAPH1/checkpoints/policy_512.zip
SMOKE_RW2	0	0	0	925b7220297f31a7b71b24deffd7d44d25392e34e12dbfb76b55b8663fa018e3	32efbcdfe85e45ac87e4f99bf80a06c18389f4bd22049b4bf811c0bc8dc0bd57	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/smoke/SMOKE_RW2/checkpoints/policy_0.zip
SMOKE_RW2	512	512	512	3f533e7dc919452adb19e3eb36693a237fa12c7f3225bd1e26d010111b0eeaa9	8bfbd326bd2b3bf358e488a0174ad478f254cf5e1d94b6568ef4aef75e13d5fe	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/smoke/SMOKE_RW2/checkpoints/policy_512.zip
SMOKE_TASK	0	0	0	91c9481520ebb1989a48116b30252e5979aca6de771d2a5ffd1a8cd589331b11	32efbcdfe85e45ac87e4f99bf80a06c18389f4bd22049b4bf811c0bc8dc0bd57	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/smoke/SMOKE_TASK/checkpoints/policy_0.zip
SMOKE_TASK	512	512	512	9955990a1f92818762c514af71de1b310bdd8e0032b909582f9caf722012d469	2f02f19c88c3ad2c23993c27f21980e06fa2972d6bcd0fafd3409ea8c0ee035c	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/smoke/SMOKE_TASK/checkpoints/policy_512.zip
A_s317_FLAT	0	0	0	fe8e0cacf9350e59c8e68b5f6b54ebcc608f0b7e62a38de16aaa6424691d20ed	9c20daed49aaa677e0c756139fdadf0083608f322b04b32560915bee13d2b9c7	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s317_FLAT/checkpoints/policy_0.zip
A_s317_FLAT	32768	32768	32768	7de7a0dc3e0cfc408fb3ba2e498acc652d4c9a0b902962d66ebc161192c85746	7f164dc48d2098d4fdbdba8c3fd55bf33085021648431f8a5f9149d6d575fe7f	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s317_FLAT/checkpoints/policy_32768.zip
A_s317_FLAT	65536	65536	65536	e6688f19bb627d747b6e98e27e003ae5ceeca74774ac9c11083f8f4aee50f5ef	2f9e5020b283cbf66a6f4a506913214d6dd59fecd6631cf42afc4fb3edb545d2	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s317_FLAT/checkpoints/policy_65536.zip
A_s317_FLAT	131072	131072	131072	6ec4e618a294ca553564b19e0bed2924320bdccf0b3790e4bd6f03a32c1b48e5	c05b0d5dbcdd702999876bf302cf953be031f0fa05fa3dc23a66be2c61444fef	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s317_FLAT/checkpoints/policy_131072.zip
A_s317_FLAT	262144	262144	262144	bfcb907f1ba812878928578c2856079f216f7e0c8e3657e23b9226479a3cbb96	93e31e687cacacf5c361f5d0d68c65a44f89e28d3a56743e4e19b4bc8bfe19c5	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s317_FLAT/checkpoints/policy_262144.zip
A_s317_FLAT	524288	524288	524288	5343ff52d1654a039a98492dca581def2e3ce7290cd888368031ccb21ec996dc	3d974efa3771425f47b8fea1f372028b7545eeb12168f00fcc04f0967463db50	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s317_FLAT/checkpoints/policy_524288.zip
A_s317_GEOM	0	0	0	93fb9edf27d6519913df2dfd6d20fdb13dfe4906bc08409818397d09fc0c1bfa	9c20daed49aaa677e0c756139fdadf0083608f322b04b32560915bee13d2b9c7	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/A_s317_GEOM/checkpoints/policy_0.zip
