repeat,method,stop_budget,stopped_early,bottom_jaccard,bottom_overlap,bottom_mistakes,bootstrap_q10_jaccard,ambiguous_count
19,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,46
19,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,46
19,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,46
20,naive_consecutive,70,True,0.7272727272727273,32,6,0.4339622641509434,47
20,bootstrap_permissive,100,False,1.0,38,0,0.49019607843137253,45
20,bootstrap_balanced,100,False,1.0,38,0,0.49019607843137253,45
20,bootstrap_conservative,100,False,1.0,38,0,0.49019607843137253,45
21,naive_consecutive,60,True,0.6170212765957447,29,9,0.4339622641509434,47
21,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,43
21,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,43
21,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,43
22,naive_consecutive,60,True,0.5510204081632653,27,11,0.38181818181818183,55
22,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,44
22,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,44
22,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,44
23,naive_consecutive,80,True,0.8095238095238095,34,4,0.45878084179970974,43
23,bootstrap_permissive,100,False,1.0,38,0,0.48733031674208144,46
23,bootstrap_balanced,100,False,1.0,38,0,0.48733031674208144,46
23,bootstrap_conservative,100,False,1.0,38,0,0.48733031674208144,46
24,naive_consecutive,75,True,0.7272727272727273,32,6,0.4074074074074074,54
24,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,43
24,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,43
24,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,43
25,naive_consecutive,50,True,0.6170212765957447,29,9,0.4074074074074074,51
25,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,45
25,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,45
25,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,45
26,naive_consecutive,100,False,1.0,38,0,0.46153846153846156,44
26,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,44
26,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,44
26,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,44
27,naive_consecutive,60,True,0.7272727272727273,32,6,0.46153846153846156,44
27,bootstrap_permissive,100,False,1.0,38,0,0.49019607843137253,46
27,bootstrap_balanced,100,False,1.0,38,0,0.49019607843137253,46
27,bootstrap_conservative,100,False,1.0,38,0,0.49019607843137253,46
