budget_per_pool,repeats,spearman_mean,spearman_std,bottom_jaccard_mean,bottom_jaccard_std,bottom_overlap_mean,bottom_mistakes_mean
5,200,0.008654629981282046,0.09922704074487954,0.1263411432949583,0.04489600130833107,8.42,29.58
10,200,0.03836879967718309,0.108493483829376,0.1513135246700894,0.05274459144664847,9.855,28.145
25,200,0.11429868703035564,0.11218631253033527,0.19738628623476753,0.057419364370118436,12.385,25.615
50,200,0.23592439404009444,0.09165210589874842,0.26683708371162473,0.05275008937052899,15.905,22.095
