sampling,budget,repeats,spearman_mean,spearman_std,bottom_jaccard_mean,bottom_jaccard_std,bottom_overlap_mean,bottom_mistakes_mean
random,5,200,0.22026068652849745,0.13178536809651417,0.2248880350046694,0.06855995749051333,13.76,24.24
random,10,200,0.33924110049372,0.13172515143735947,0.2781579058568848,0.07253695222567974,16.345,21.655
random,25,200,0.5630156339012018,0.11323186283050271,0.40556954916638494,0.08082004149628164,21.75,16.25
random,50,200,0.780214646122128,0.06501612515609195,0.5639834141345689,0.0763138116600741,27.29,10.71
random,75,200,0.9025700821284215,0.034978477122118976,0.7042936018373692,0.07041695113566798,31.33,6.67
random,100,200,1.0,0.0,1.0,0.0,38.0,0.0
stratified,5,200,0.20193830873775875,0.10959017000940656,0.20467430288569105,0.053483756348422506,12.79,25.21
stratified,10,200,0.35997415260559373,0.11305727712551306,0.28897747644138116,0.0602687229858885,16.91,21.09
stratified,25,200,0.5443773227897892,0.09538320385115844,0.38830451845747455,0.06568822001060665,21.135,16.865
stratified,50,200,0.7460482733364079,0.06455052662148517,0.5370973778186386,0.06247101635228516,26.475,11.525
stratified,75,200,0.9028661700078671,0.025769397600651417,0.7029070627197048,0.06272470482664132,31.31,6.69
stratified,100,200,1.0,0.0,1.0,0.0,38.0,0.0
