sampling,budget,repeat,spearman_to_full100,bottom_jaccard_to_full100,bottom_overlap,bottom_mistakes
random,5,0,-0.06071467324959988,0.05555555555555555,4,34
random,5,1,-0.006708962916745789,0.10144927536231885,7,31
random,5,2,0.11800280769335109,0.26666666666666666,16,22
random,5,3,0.2888634945609419,0.22580645161290322,14,24
random,5,4,0.5407641130673033,0.3333333333333333,19,19
random,5,5,0.2726480481783903,0.22580645161290322,14,24
random,5,6,0.44953103382795756,0.3103448275862069,18,20
random,5,7,0.24552227165450455,0.26666666666666666,16,22
random,5,8,0.158166725442856,0.15151515151515152,10,28
random,5,9,0.3486422700268562,0.22580645161290322,14,24
random,5,10,0.33072118384287774,0.1875,12,26
random,5,11,0.3961950329598785,0.288135593220339,17,21
random,5,12,0.30940407725904023,0.1875,12,26
random,5,13,-0.011385060901174622,0.11764705882352941,8,30
random,5,14,0.3107061959146028,0.288135593220339,17,21
random,5,15,0.038838062555950424,0.11764705882352941,8,30
random,5,16,0.10362524753818193,0.13432835820895522,9,29
random,5,17,0.26116634565824814,0.26666666666666666,16,22
random,5,18,0.14369252366871935,0.15151515151515152,10,28
random,5,19,0.18466178824295368,0.1875,12,26
random,5,20,0.2706236605810705,0.1875,12,26
random,5,21,0.3847794536527141,0.35714285714285715,20,18
random,5,22,0.399518148278762,0.288135593220339,17,21
random,5,23,0.3710326072213331,0.22580645161290322,14,24
random,5,24,0.20644006185063615,0.2459016393442623,15,23
random,5,25,0.07250664623063778,0.13432835820895522,9,29
random,5,26,0.4204130835797413,0.3103448275862069,18,20
random,5,27,0.4787168027561512,0.3103448275862069,18,20
random,5,28,0.44247110924232974,0.3103448275862069,18,20
random,5,29,0.18923785367441612,0.16923076923076924,11,27
random,5,30,0.00792630822233676,0.10144927536231885,7,31
random,5,31,0.25306370886797064,0.2459016393442623,15,23
random,5,32,0.47128217996364924,0.4074074074074074,22,16
random,5,33,0.011832664189024225,0.16923076923076924,11,27
random,5,34,0.19839337547133987,0.22580645161290322,14,24
random,5,35,0.3563685131432603,0.3103448275862069,18,20
random,5,36,0.41355661503404506,0.3333333333333333,19,19
random,5,37,0.45184873721617896,0.288135593220339,17,21
random,5,38,0.25806364104929064,0.22580645161290322,14,24
random,5,39,0.09743001112226352,0.2459016393442623,15,23
random,5,40,0.2887685484089738,0.1875,12,26
random,5,41,0.127627973849117,0.13432835820895522,9,29
random,5,42,0.3900879608279305,0.26666666666666666,16,22
random,5,43,0.43339188346038043,0.35714285714285715,20,18
random,5,44,0.2242102514716654,0.16923076923076924,11,27
random,5,45,0.09741644738626808,0.16923076923076924,11,27
random,5,46,0.5145725388601037,0.4339622641509434,23,15
random,5,47,0.1685819792203565,0.2459016393442623,15,23
random,5,48,0.11844871551420125,0.1875,12,26
random,5,49,0.34894575861975424,0.2459016393442623,15,23
random,5,50,0.14872636519002796,0.22580645161290322,14,24
random,5,51,0.31534499362504415,0.3103448275862069,18,20
random,5,52,0.40082196240132384,0.2459016393442623,15,23
random,5,53,0.058766581667254444,0.16923076923076924,11,27
random,5,54,0.3408448172964762,0.2459016393442623,15,23
random,5,55,0.1195524645308304,0.1875,12,26
random,5,56,0.20464117136424062,0.20634920634920634,13,25
random,5,57,0.059704174917939404,0.13432835820895522,9,29
random,5,58,0.19455314271763016,0.26666666666666666,16,22
random,5,59,0.0033451563898760283,0.16923076923076924,11,27
random,5,60,0.2685721455117598,0.288135593220339,17,21
random,5,61,0.10598872853538781,0.15151515151515152,10,28
random,5,62,0.32533807611968646,0.20634920634920634,13,25
random,5,63,0.24208216911266042,0.26666666666666666,16,22
random,5,64,0.19801528633046686,0.13432835820895522,9,29
random,5,65,0.2007449881995497,0.22580645161290322,14,24
random,5,66,0.39297703659495975,0.35714285714285715,20,18
random,5,67,-0.02993516534194179,0.1875,12,26
random,5,68,0.198000027127472,0.1875,12,26
random,5,69,0.161342335132789,0.1875,12,26
random,5,70,0.23014438596967154,0.2459016393442623,15,23
random,5,71,0.17870052627295666,0.26666666666666666,16,22
random,5,72,0.12398611073434068,0.16923076923076924,11,27
random,5,73,0.12140221902720888,0.20634920634920634,13,25
random,5,74,0.27189865176464206,0.3103448275862069,18,20
random,5,75,0.39393667091663737,0.288135593220339,17,21
random,5,76,0.2919051623579199,0.20634920634920634,13,25
random,5,77,0.490854651005073,0.35714285714285715,20,18
random,5,78,0.17544014323305215,0.22580645161290322,14,24
random,5,79,0.4411130401757861,0.3103448275862069,18,20
random,5,80,0.2531908688929279,0.288135593220339,17,21
random,5,81,0.4474761278246481,0.3103448275862069,18,20
random,5,82,0.24565282261346066,0.1875,12,26
random,5,83,0.055699481865284985,0.15151515151515152,10,28
random,5,84,0.21861860130754418,0.26666666666666666,16,22
random,5,85,0.3190445026178011,0.26666666666666666,16,22
random,5,86,0.17130659468844098,0.1875,12,26
