method,repeats,early_stop_rate,mean_budget,median_budget,budget_std,bottom_jaccard_mean,bottom_jaccard_std,bottom_overlap_mean,bottom_mistakes_mean
bootstrap_balanced,60,0.0,100.0,100.0,0.0,1.0,0.0,38.0,0.0
bootstrap_conservative,60,0.0,100.0,100.0,0.0,1.0,0.0,38.0,0.0
bootstrap_permissive,60,0.0,100.0,100.0,0.0,1.0,0.0,38.0,0.0
naive_consecutive,60,0.7,78.08333333333333,80.0,19.20212882501389,0.7789172088403074,0.17239655753351205,32.88333333333333,5.116666666666666
