comparison,metric,families,mean_effect,bootstrap_low,bootstrap_high,bootstrap_resamples,bootstrap_seed
G2_evidence_refined-G0_coarse_direct,branch_accuracy,24,0.7083333333333334,0.5416666666666666,0.875,5000,230501
G2_evidence_refined-G1_predicate_bound,branch_accuracy,24,0.5833333333333334,0.375,0.7916666666666666,5000,230502
