rollouts,families,branch_accuracy,state_readiness_accuracy,transition_precondition_precision,transition_effect_precision,goal_precision,goal_recall,false_ready_rate,unnecessary_manipulation_rate,failure_denominator,failure_recall,recovery_denominator,recovery_recall,unknown_rate,ambiguous_edge_rate,graph_completion_coverage,second_view_query_rate,second_view_unknown_resolution_rate,graph_id
96,24,0.25,0.8645833333333334,0.25,0.8645833333333334,1.0,0.8602150537634409,0.0,1.0,24,0.0,24,0.0,0.08502569628647222,0.0,0.9460565476190483,0.0,0.0,G0_coarse_direct
96,24,0.375,0.8645833333333334,0.375,0.8645833333333334,1.0,0.8602150537634409,0.0,0.0,24,0.0,24,0.0,0.08502569628647222,0.0,0.9639136904761911,0.0,0.0,G1_predicate_bound
96,24,0.9583333333333334,0.8645833333333334,0.9583333333333334,0.8645833333333334,1.0,0.8602150537634409,0.0,0.0,24,1.0,24,1.0,0.08502569628647222,0.125,0.9639136904761911,0.0,0.0,G2_evidence_refined
