content_group_sha256,rollout_count,family_count,strata,member_rollout_ids
183566af9892817ab584ae932cb34fc3630378e205c0b65ea3f7221ff8a8c05e,4,1,long_gap_after_loss,L2RA_D_04_02_430000_r00;L2RA_D_04_02_430000_r01;L2RA_D_04_02_430000_r02;L2RA_D_04_02_430000_r03
1ef79595c898329d8ac7ef18e53f7ae6206a768884127859e5bf2f0cd1aac8f6,8,2,touch_without_hold_then_loss,L2RA_D_02_00_430000_r00;L2RA_D_02_00_430000_r01;L2RA_D_02_00_430000_r02;L2RA_D_02_00_430000_r03;L2RA_D_02_02_430000_r00;L2RA_D_02_02_430000_r01;L2RA_D_02_02_430000_r02;L2RA_D_02_02_430000_r03
276b52270ca09359c663ed136a718e7f6da26c10b9f755c6c47f5bae07570444,4,1,commanded_release,L2RA_D_03_00_430000_r00;L2RA_D_03_00_430000_r01;L2RA_D_03_00_430000_r02;L2RA_D_03_00_430000_r03
2fe89eb6527a60db2e1b9e5409fe31650bdf8e59c31febc1ef2de430363a4f39,12,3,miss_without_prior_hold,L2RA_D_00_00_430000_r00;L2RA_D_00_00_430000_r01;L2RA_D_00_00_430000_r02;L2RA_D_00_00_430000_r03;L2RA_D_00_02_430000_r00;L2RA_D_00_02_430000_r01;L2RA_D_00_02_430000_r02;L2RA_D_00_02_430000_r03;L2RA_D_00_03_430000_r00;L2RA_D_00_03_430000_r01;L2RA_D_00_03_430000_r02;L2RA_D_00_03_430000_r03
5498486e306f00959a3c5ad492f55d592fd6fae41c428b0c048e4376f888a0d3,4,1,commanded_release,L2RA_D_03_02_430000_r00;L2RA_D_03_02_430000_r01;L2RA_D_03_02_430000_r02;L2RA_D_03_02_430000_r03
54fc36e07b7d33ff76a60490e71e3cc6412e218cc6ab5f5abed4559e8f85cb8d,4,1,long_gap_after_loss,L2RA_D_04_03_430000_r00;L2RA_D_04_03_430000_r01;L2RA_D_04_03_430000_r02;L2RA_D_04_03_430000_r03
55ef80a5f283725fb9c19598030e09c8937026a68734b6a2e950012e69095401,4,1,long_gap_after_loss,L2RA_D_04_01_430000_r00;L2RA_D_04_01_430000_r01;L2RA_D_04_01_430000_r02;L2RA_D_04_01_430000_r03
8d6b731fbb9a157deeb7342b21af893ba57c2973dda5361117b4c943af9e68d9,4,1,loss_after_observed_hold,L2RA_D_01_01_430000_r00;L2RA_D_01_01_430000_r01;L2RA_D_01_01_430000_r02;L2RA_D_01_01_430000_r03
96df9e87d019dce62bd726a5b850a571150f0a0cd8fc87ceb26c56c202b47087,4,1,loss_after_observed_hold,L2RA_D_01_00_430000_r00;L2RA_D_01_00_430000_r01;L2RA_D_01_00_430000_r02;L2RA_D_01_00_430000_r03
9eb293adbabd142f5dd59b7d22a566769183eb2e6aa9634dd1b146d84d11d8d8,8,2,loss_after_observed_hold,L2RA_D_01_02_430000_r00;L2RA_D_01_02_430000_r01;L2RA_D_01_02_430000_r02;L2RA_D_01_02_430000_r03;L2RA_D_01_03_430000_r00;L2RA_D_01_03_430000_r01;L2RA_D_01_03_430000_r02;L2RA_D_01_03_430000_r03
a7ee08c1e65caecc4d4e48855299632fc7010a33950e2238ca62fc553fe7bc24,4,1,long_gap_after_loss,L2RA_D_04_00_430000_r00;L2RA_D_04_00_430000_r01;L2RA_D_04_00_430000_r02;L2RA_D_04_00_430000_r03
ab2ed3643a419258b7ce877e1fd527c54cad354aa601b5d0ab9e4514db9e27df,4,1,touch_without_hold_then_loss,L2RA_D_02_01_430000_r00;L2RA_D_02_01_430000_r01;L2RA_D_02_01_430000_r02;L2RA_D_02_01_430000_r03
bb0201fcaaf4f3653b7913493de71fc406f5ce7b03b5f5320a5d82636937e207,4,1,history_or_visual_unavailable,L2RA_D_05_03_430000_r00;L2RA_D_05_03_430000_r01;L2RA_D_05_03_430000_r02;L2RA_D_05_03_430000_r03
d1242c5bd27145fa6c73acf4695032a1539cd929cabb826128a6b148d05af179,4,1,history_or_visual_unavailable,L2RA_D_05_01_430000_r00;L2RA_D_05_01_430000_r01;L2RA_D_05_01_430000_r02;L2RA_D_05_01_430000_r03
d1365c434ecc283377c9e51569e053d3a0ee8c26dc0e88aac42ff2345b4a7161,4,1,miss_without_prior_hold,L2RA_D_00_01_430000_r00;L2RA_D_00_01_430000_r01;L2RA_D_00_01_430000_r02;L2RA_D_00_01_430000_r03
e20682e4e9d4f1e1d0727c2cde39728ff6c4b089d9a2edf6e602d70c5e02992c,8,2,commanded_release,L2RA_D_03_01_430000_r00;L2RA_D_03_01_430000_r01;L2RA_D_03_01_430000_r02;L2RA_D_03_01_430000_r03;L2RA_D_03_03_430000_r00;L2RA_D_03_03_430000_r01;L2RA_D_03_03_430000_r02;L2RA_D_03_03_430000_r03
f23fd3216d289788aa8dd6c914c05008d354ee58f287f4e7740b6b358deb7653,4,1,touch_without_hold_then_loss,L2RA_D_02_03_430000_r00;L2RA_D_02_03_430000_r01;L2RA_D_02_03_430000_r02;L2RA_D_02_03_430000_r03
f75f27047b1a5dc34a7aca89576b2cb1e296d33c2d4bafa911b8753118087922,4,1,history_or_visual_unavailable,L2RA_D_05_02_430000_r00;L2RA_D_05_02_430000_r01;L2RA_D_05_02_430000_r02;L2RA_D_05_02_430000_r03
fae3c7358d76988249d227486de36b66b2ba1e2369de8deef7b3ae98c7d89e38,4,1,history_or_visual_unavailable,L2RA_D_05_00_430000_r00;L2RA_D_05_00_430000_r01;L2RA_D_05_00_430000_r02;L2RA_D_05_00_430000_r03
