update,valid_transitions,rollout_n,success_episodes,zero_reward_episodes,policy_loss,value_loss,q_loss,total_loss,grad_norm,NaN_n,mask_error_n,controller_failure_n,timeout_n,original_episode_n,absent_episode_n,interaction_seconds,dp_rms_all,dk_rms_all,dh_rms_all,residual_rms_all,max_abs_residual,dp_nonzero_rate_all,residual_nonzero_rate_all,dp_nonzero_rate_conditioned,residual_nonzero_rate_conditioned,qualifying_n,mean_duration,median_duration,candidate_count_mean
1,1024,1024,30,101,-0.03963113094505388,0.03889308270299807,0.010164194254684844,-0.026233770535327494,0.23817132180556655,0,0,0,18,105,27,5033.900000000681,0.003261432757162081,0.013178801936918573,0.013171146493292778,1.5952192765081667e-05,0.00019812122627627105,0.03515625,0.03515625,1.0,1.0,36,4.915917968750665,4.2499999999976446,2.2529296875
2,2048,1024,88,186,-0.031164661784714554,0.058892385684885085,0.009544035861836164,-0.00802213386486983,0.5640098238363862,0,0,0,34,219,56,10032.700000001216,0.011065486812846517,0.06398372615093262,0.06284495825350933,0.0010339759986627524,0.020446443930268288,0.0390625,0.0390625,1.0,1.0,40,4.881640625000522,4.200000000001403,2.3486328125
3,3072,1024,94,191,0.009763141759322025,0.004384967808535256,0.003055624544094991,0.011785787746703136,0.12566090933978558,0,0,0,35,230,56,10439.550000000529,0.0,0.056799811356760384,0.056799811356760384,0.0,0,0.0,0.0,,,0,0.39731445312501396,0.05,1.091796875
4,4096,1024,94,191,0.007201238608104177,3.205564892565715e-06,3.051142875985292e-05,0.00720589254888182,0.006973246600864513,0,0,0,35,230,56,10490.749999999784,0.0,0.043633103370666504,0.043633103370666504,0.0,0,0.0,0.0,,,0,0.049999999999999246,0.05,1.0
5,5120,1024,94,191,0.001198679172375705,5.279924995218619e-07,9.737969468249716e-07,0.0011990405564574758,0.0022997474399630846,0,0,0,35,230,56,10541.949999999038,0.0,0.03038005530834198,0.03038005530834198,0.0,0,0.0,0.0,,,0,0.049999999999999246,0.05,1.0
6,6144,1024,94,191,0.0032054791154223494,4.3137325446006465e-07,9.48841958830853e-07,0.0032057896878541214,0.0019080440811194421,0,0,0,35,230,56,10593.149999998293,0.0,0.03020244836807251,0.03020244836807251,0.0,0,0.0,0.0,,,0,0.049999999999999246,0.05,1.0
7,7168,1024,94,191,0.003090967486059526,4.4169935058471776e-07,9.302468888959439e-07,0.0030912814015465195,0.0019940092015531263,0,0,0,35,230,56,10644.349999997548,0.0,0.02986251562833744,0.02986251562833744,0.0,0,0.0,0.0,,,0,0.049999999999999246,0.05,1.0
8,8192,1024,94,191,0.002519559951906558,4.4978182479600646e-07,9.051935131111806e-07,0.0025198753409864105,0.0020759834947057243,0,0,0,35,230,56,10695.549999996803,0.0,0.029697716236114502,0.029697716236114502,0.0,0,0.0,0.0,,,0,0.049999999999999246,0.05,1.0
